Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,78.48,78.48,78.13,78.42,37800,78.42
2015-04-30,78.91,78.91,78.57,78.82,246900,78.523
2015-04-29,78.98,78.98,78.71,78.81,27900,78.51303
2015-04-28,79.40,79.40,79.10,79.18,62800,78.88165
2015-04-27,79.44,79.44,79.17,79.22,44100,78.92149
2015-04-24,79.10,79.24,79.00,79.24,21400,78.94141
2015-04-23,78.60,78.99,78.58,78.98,37300,78.6824
2015-04-22,78.73,78.94,78.54,78.58,73800,78.28391
2015-04-21,78.61,78.61,78.50,78.54,37100,78.24406
2015-04-20,78.72,78.72,78.50,78.52,31500,78.22413
2015-04-17,79.10,79.10,78.58,78.63,53900,78.33371
2015-04-16,78.94,78.94,78.76,78.80,35300,78.50307
2015-04-15,79.45,79.45,78.84,78.94,182200,78.64255
2015-04-14,79.20,79.26,79.07,79.08,138000,78.78202
2015-04-13,78.65,79.03,78.65,79.02,32100,78.72224
2015-04-10,78.99,78.99,78.74,78.86,28900,78.56285
2015-04-09,78.99,79.00,78.75,78.96,33200,78.66247
2015-04-08,78.63,78.71,78.49,78.69,24300,78.39349
2015-04-07,78.20,78.34,78.07,78.27,17700,77.97507
2015-04-06,78.46,78.46,78.30,78.38,32500,78.08466
2015-04-02,78.19,78.19,77.94,78.09,30500,77.79575
2015-04-01,77.95,78.01,77.60,77.90,66100,77.60647
2015-03-31,77.85,77.90,77.61,77.76,22800,77.15517
2015-03-30,77.72,77.72,77.60,77.65,19400,77.04603
2015-03-27,77.76,77.76,77.38,77.44,27800,76.83767
2015-03-26,77.89,77.89,77.37,77.49,33500,76.88728
2015-03-25,77.65,77.92,77.65,77.73,159900,77.12541
2015-03-24,77.36,77.61,77.36,77.51,37400,76.90712
2015-03-23,77.25,77.59,77.23,77.40,36900,76.79797
2015-03-20,76.94,77.14,76.91,77.11,19500,76.51023
2015-03-19,76.50,76.77,76.50,76.67,18400,76.07365
2015-03-18,75.80,76.79,75.80,76.31,28200,75.71645
2015-03-17,76.00,76.11,75.90,75.94,59100,75.34933
2015-03-16,76.49,76.49,76.11,76.11,44800,75.51801
2015-03-13,76.41,76.68,76.31,76.35,20000,75.75614
2015-03-12,76.60,76.74,76.53,76.54,16100,75.94466
2015-03-11,76.30,76.53,76.25,76.30,20300,75.70654
2015-03-10,76.57,76.57,76.35,76.35,32500,75.75614
2015-03-09,76.95,76.95,76.51,76.57,29300,75.97443
2015-03-06,77.19,77.19,76.68,76.72,134700,76.12327
2015-03-05,77.26,77.29,77.10,77.15,22900,76.54992
2015-03-04,77.37,77.40,77.20,77.24,18600,76.63921
2015-03-03,77.19,77.44,77.19,77.37,20800,76.76821
2015-03-02,77.99,77.99,77.30,77.32,31200,76.7186
2015-02-27,77.64,77.65,77.47,77.64,24900,76.75233
2015-02-26,77.73,77.73,77.55,77.55,15200,76.66336
2015-02-25,77.45,77.61,77.39,77.61,10800,76.72268
2015-02-24,77.14,77.35,76.90,77.17,32400,76.2877
2015-02-23,77.02,77.16,76.83,76.92,26700,76.04057
2015-02-20,77.32,77.32,77.02,77.02,17200,76.13942
2015-02-19,77.28,77.28,77.03,77.03,24100,76.14931
2015-02-18,77.25,77.33,77.03,77.12,33600,76.23828
2015-02-17,77.24,77.34,77.01,77.12,34100,76.23828
2015-02-13,76.78,77.23,76.78,77.15,18600,76.26794
2015-02-12,76.73,76.87,76.63,76.86,20000,75.98125
2015-02-11,76.97,76.97,76.40,76.51,24600,75.63525
2015-02-10,76.86,76.86,76.43,76.43,34200,75.55617
2015-02-09,77.24,77.24,76.85,77.03,27500,76.14931
2015-02-06,77.25,77.25,76.78,76.83,132500,75.95159
2015-02-05,76.66,77.12,76.66,77.12,30200,76.23828
2015-02-04,77.10,77.12,76.91,76.91,22200,76.03069
2015-02-03,77.00,77.26,76.79,77.02,37000,76.13942
2015-02-02,76.87,76.94,76.73,76.81,28600,75.93182
2015-01-30,77.06,77.45,76.72,76.81,23800,75.62635
2015-01-29,77.10,77.10,76.77,76.90,13000,75.71497
2015-01-28,76.92,77.23,76.77,76.99,50200,75.80357
2015-01-27,76.97,77.00,76.73,76.87,29100,75.68543
2015-01-26,76.89,76.91,76.55,76.73,24000,75.54759
2015-01-23,76.77,76.95,76.18,76.55,52800,75.37036
2015-01-22,76.33,76.51,76.21,76.24,20700,75.06513
2015-01-21,76.48,76.63,76.29,76.34,33700,75.16359
2015-01-20,76.38,76.67,76.24,76.33,35400,75.15376
2015-01-16,76.38,76.41,76.26,76.28,22800,75.10452
2015-01-15,76.44,76.50,75.82,76.44,20700,75.26205
2015-01-14,76.06,76.25,75.82,76.24,8900,75.06513
2015-01-13,75.91,76.07,75.58,75.94,23700,74.76976
2015-01-12,76.00,76.14,75.89,75.93,29600,74.75991
2015-01-09,76.52,76.52,75.91,76.00,65800,74.82883
2015-01-08,76.18,76.46,76.18,76.36,57300,75.18329
2015-01-07,75.72,76.03,75.33,75.98,13900,74.80914
2015-01-06,75.75,75.75,75.00,75.06,34000,73.90332
2015-01-05,76.20,76.51,75.80,75.80,39200,74.63192
2015-01-02,76.32,76.75,76.32,76.36,41900,75.18329
2014-12-31,76.00,76.57,76.00,76.36,21200,75.18329
2014-12-30,76.67,76.67,76.35,76.36,30600,75.18329
2014-12-29,76.21,76.61,76.15,76.59,44300,75.40974
2014-12-26,76.65,76.85,76.32,76.33,38600,75.15376
2014-12-24,76.53,76.53,76.44,76.53,20100,75.35067
2014-12-23,76.68,76.68,76.27,76.53,34800,75.35067
2014-12-22,76.56,76.85,76.22,76.75,34000,75.25615
2014-12-19,76.34,76.54,75.97,76.37,41000,74.88354
2014-12-18,75.83,76.77,75.45,76.03,81300,74.55016
2014-12-17,73.87,75.62,73.87,74.90,55000,73.44215
2014-12-16,74.00,74.18,73.15,73.69,88500,72.25571
2014-12-15,75.00,75.16,74.02,74.09,140000,72.64792
2014-12-12,76.00,76.20,75.00,75.02,31000,73.55981
2014-12-11,76.57,76.91,76.16,76.21,68900,74.72665
2014-12-10,76.77,76.93,76.41,76.56,73200,75.06984
2014-12-09,76.73,76.97,76.66,76.82,121000,75.32478
2014-12-08,77.87,77.87,76.87,77.07,195900,75.56992
2014-12-05,78.34,78.34,77.83,77.88,185800,76.36415
2014-12-04,78.43,78.43,78.26,78.28,53400,76.75636
2014-12-03,78.20,78.33,78.03,78.32,47200,76.79559
2014-12-02,78.43,78.43,78.25,78.29,12500,76.76617
2014-12-01,79.04,79.04,78.33,78.38,130500,76.85442
2014-11-28,79.52,79.52,79.03,79.04,22700,77.2437
2014-11-26,79.22,79.32,79.10,79.30,23600,77.49779
2014-11-25,79.14,79.20,79.04,79.14,41800,77.34142
2014-11-24,79.31,79.31,78.86,79.06,413400,77.26324
2014-11-21,79.24,79.27,78.84,78.91,26300,77.11665
2014-11-20,78.64,78.74,78.63,78.66,20400,76.87234
