Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,88.97,88.98,87.59,87.67,9100,87.67
2015-04-29,89.95,89.95,89.39,89.39,6900,89.39
2015-04-28,89.71,90.21,89.54,90.19,2500,90.19
2015-04-27,90.38,90.53,89.14,89.33,12900,89.33
2015-04-24,90.10,90.15,90.10,90.15,700,90.15
2015-04-23,89.91,90.42,89.91,90.42,1200,90.42
2015-04-22,89.80,90.07,89.26,90.07,4700,90.07
2015-04-21,90.15,90.15,89.81,89.81,2300,89.81
2015-04-20,89.58,90.29,89.58,90.08,2800,90.08
2015-04-17,90.40,90.40,89.05,89.14,6700,89.14
2015-04-16,90.55,90.88,90.44,90.74,4700,90.74
2015-04-15,90.64,91.11,90.51,90.86,3000,90.86
2015-04-14,90.34,90.34,89.87,90.12,9500,90.12
2015-04-13,89.99,90.50,89.99,90.15,4100,90.15
2015-04-10,90.05,90.16,90.05,90.15,5300,90.15
2015-04-09,90.25,90.25,89.09,89.60,1800,89.60
2015-04-08,89.96,90.28,89.96,90.25,3100,90.25
2015-04-07,90.39,90.44,90.00,90.00,6200,90.00
2015-04-06,89.59,90.58,89.59,90.58,8600,90.58
2015-04-02,89.66,90.29,89.66,90.29,3200,90.29
2015-04-01,89.85,89.85,88.96,89.59,6900,89.59
2015-03-31,89.41,89.83,89.41,89.83,5000,89.83
2015-03-30,89.05,90.00,89.05,90.00,22700,90.00
2015-03-27,88.41,88.56,88.35,88.56,2100,88.56
2015-03-26,88.44,88.58,88.33,88.45,2100,88.45
2015-03-25,90.31,90.31,88.60,88.70,15500,88.70
2015-03-24,90.31,90.47,90.15,90.47,3400,90.47
2015-03-23,90.29,90.60,90.29,90.39,5400,90.39
2015-03-20,89.48,90.26,89.38,90.26,5400,90.26
2015-03-19,89.14,89.24,88.93,89.06,4900,89.06
2015-03-18,88.28,89.21,88.09,89.12,5600,89.12
2015-03-17,88.16,88.27,88.03,88.27,3800,88.27
2015-03-16,88.37,88.37,88.16,88.37,2100,88.37
2015-03-13,88.15,88.15,86.92,87.70,4600,87.70
2015-03-12,87.14,88.26,87.10,88.26,8500,88.26
2015-03-11,86.32,86.32,86.32,86.32,300,86.32
2015-03-10,86.30,86.30,85.85,86.22,7200,86.22
2015-03-09,86.74,87.20,86.74,87.20,2100,87.20
2015-03-06,87.47,87.59,86.50,86.52,13600,86.52
