Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,38.77,39.21,38.19,39.11,32200,39.02965
2015-04-30,39.29,39.29,38.35,38.50,24600,38.4209
2015-04-29,39.50,40.26,39.29,39.30,47300,39.21926
2015-04-28,38.31,39.60,38.25,39.18,27400,39.09951
2015-04-27,38.47,39.62,38.04,38.29,27000,38.21133
2015-04-24,38.41,38.81,38.27,38.49,15600,38.41093
2015-04-23,38.57,39.11,38.57,38.80,8700,38.72029
2015-04-22,38.28,39.10,38.14,38.80,20200,38.72029
2015-04-21,39.18,39.56,38.25,38.46,27900,38.38099
2015-04-20,38.62,39.51,38.45,39.12,14800,39.03963
2015-04-17,39.63,39.63,38.42,38.44,17900,38.36103
2015-04-16,40.61,40.61,39.83,40.14,16400,40.05753
2015-04-15,39.54,40.77,39.47,40.56,32600,40.47667
2015-04-14,39.50,39.80,39.06,39.56,51200,39.47873
2015-04-13,39.11,39.99,38.85,39.78,29800,39.69827
2015-04-10,39.62,39.66,39.26,39.56,23000,39.47873
2015-04-09,39.84,40.25,39.08,39.74,31400,39.65836
2015-04-08,39.67,40.01,39.31,39.75,30800,39.66833
2015-04-07,39.33,40.00,39.33,39.87,29600,39.78809
2015-04-06,39.30,39.85,38.80,39.46,54800,39.37893
2015-04-02,39.44,39.50,38.84,39.45,47900,39.36895
2015-04-01,39.00,39.40,38.50,39.37,51700,39.28912
2015-03-31,38.26,38.99,38.26,38.91,29700,38.83006
2015-03-30,38.18,38.83,38.10,38.54,17800,38.46082
2015-03-27,37.92,38.27,37.59,38.14,48400,38.06164
2015-03-26,37.75,38.18,37.38,37.84,27000,37.76226
2015-03-25,38.10,38.11,37.22,37.64,53800,37.56267
2015-03-24,38.09,38.09,37.32,37.84,19200,37.76226
2015-03-23,38.22,38.57,37.58,37.69,38600,37.61257
2015-03-20,37.33,39.00,37.03,38.11,37600,38.0317
2015-03-19,37.40,37.42,37.01,37.26,30600,37.18345
2015-03-18,37.24,37.94,36.95,37.46,42500,37.38304
2015-03-17,36.67,37.39,36.67,37.13,39500,37.05372
2015-03-16,36.97,37.05,36.65,37.01,46400,36.93396
2015-03-13,37.15,37.15,35.80,36.81,36800,36.73438
2015-03-12,36.59,37.14,36.50,37.08,36000,37.00382
2015-03-11,36.27,36.64,36.00,36.35,43300,36.27532
2015-03-10,36.10,36.54,35.75,36.11,73200,36.03582
2015-03-09,37.04,37.11,36.50,36.50,54000,36.42501
2015-03-06,36.26,37.10,36.26,36.96,44900,36.88407
2015-03-05,36.80,36.80,36.12,36.42,37900,36.34518
2015-03-04,36.54,37.07,36.29,36.61,21600,36.53479
2015-03-03,36.75,37.45,36.50,36.60,25100,36.52481
2015-03-02,36.14,37.00,36.06,36.74,47900,36.66452
2015-02-27,36.10,36.69,35.91,36.07,29000,35.9959
2015-02-26,36.64,36.64,35.88,36.08,25900,36.00588
2015-02-25,36.51,36.63,36.15,36.47,15900,36.39508
2015-02-24,35.87,36.73,35.87,36.38,24000,36.30526
2015-02-23,36.70,36.93,35.54,36.05,75900,35.97594
2015-02-20,37.72,37.72,36.50,36.95,43900,36.87409
2015-02-19,37.80,38.20,36.91,37.85,46000,37.77224
2015-02-18,38.58,38.97,37.60,37.93,47300,37.85207
2015-02-17,38.45,38.93,38.15,38.89,43400,38.8101
2015-02-13,38.81,38.89,38.15,38.53,72800,38.45084
2015-02-12,37.43,38.87,37.39,38.61,78900,38.53068
2015-02-11,36.44,37.23,36.29,37.22,44700,37.0637
2015-02-10,36.57,37.05,36.00,37.03,48500,36.8745
2015-02-09,37.00,37.98,36.32,36.43,43000,36.27702
2015-02-06,36.50,37.79,36.50,37.02,69400,36.86454
2015-02-05,34.53,36.64,34.53,36.29,91100,36.1376
2015-02-04,34.32,34.70,33.81,34.24,99800,34.09621
2015-02-03,32.26,35.02,32.26,34.72,88000,34.5742
2015-02-02,31.34,32.57,31.03,32.29,59300,32.1544
2015-01-30,31.59,31.93,31.13,31.21,60800,31.07894
2015-01-29,32.11,32.34,31.72,31.99,104900,31.85566
2015-01-28,32.61,32.63,31.55,32.13,126400,31.99508
2015-01-27,32.15,33.20,31.93,32.63,163200,32.49297
