uri:/instrument/1.0/FTEK/chartdata;type=quote;range=500d/csv
ticker:ftek
Company-Name:Fuel Tech, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:2.6700
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:2.5150,2.8900
high:2.5200,2.9100
low:2.4900,2.8900
open:2.5200,2.8900
volume:0,18200
1429886476,2.8400,2.8400,2.8300,2.8301,1400
1429887759,2.8500,2.8500,2.8490,2.8490,5100
1429888153,2.8500,2.8500,2.8500,2.8500,100
1429888496,2.8500,2.8500,2.8465,2.8500,1200
1429888537,2.8500,2.8500,2.8500,2.8500,100
1429889768,2.8500,2.8500,2.8500,2.8500,200
1429890477,2.8500,2.8500,2.8500,2.8500,500
1429890719,2.8500,2.8500,2.8500,2.8500,200
1429891484,2.8500,2.8500,2.8500,2.8500,200
1429891746,2.8500,2.8500,2.8500,2.8500,200
1429892282,2.8500,2.8500,2.8500,2.8500,100
1429892545,2.8500,2.8500,2.8500,2.8500,100
1429894482,2.8500,2.8500,2.8500,2.8500,100
1429895297,2.8500,2.8500,2.8500,2.8500,3700
1429896583,2.8450,2.8500,2.8450,2.8500,1200
1429897496,2.8500,2.8500,2.8500,2.8500,100
1429898312,2.8500,2.8500,2.8500,2.8500,100
1429898915,2.8500,2.8500,2.8500,2.8500,5400
1429899679,2.8500,2.8500,2.8500,2.8500,100
1429900111,2.8500,2.8500,2.8500,2.8500,300
1429900231,2.8500,2.8500,2.8500,2.8500,100
1429900860,2.8500,2.8500,2.8500,2.8500,100
1429901836,2.8500,2.8500,2.8500,2.8500,300
1429902379,2.8500,2.8500,2.8500,2.8500,100
1429903326,2.8500,2.8500,2.8500,2.8500,200
1429903708,2.8415,2.8500,2.8401,2.8500,1000
1429904071,2.8449,2.8500,2.8400,2.8400,1100
1429904222,2.8500,2.8500,2.8500,2.8500,200
1429904932,2.8500,2.8500,2.8500,2.8500,300
1429905214,2.8500,2.8500,2.8500,2.8500,500
1429905540,2.8500,2.8600,2.8500,2.8500,400
1430141400,2.8400,2.8400,2.8400,2.8400,0
1430142927,2.8347,2.8347,2.8347,2.8347,100
1430143925,2.8401,2.8401,2.8400,2.8400,800
1430144673,2.8400,2.8500,2.8400,2.8500,900
1430145759,2.8400,2.8400,2.8400,2.8400,100
1430146051,2.8340,2.8400,2.8340,2.8400,1100
1430146516,2.8400,2.8400,2.8400,2.8400,100
1430148724,2.8400,2.8400,2.8400,2.8400,100
1430149128,2.8400,2.8400,2.8400,2.8400,500
1430149923,2.8400,2.8400,2.8400,2.8400,100
1430150111,2.8400,2.8400,2.8400,2.8400,100
1430151259,2.8359,2.8359,2.8300,2.8350,2000
1430152439,2.8301,2.8301,2.8301,2.8301,200
1430152608,2.8300,2.8331,2.8300,2.8331,800
1430153225,2.8400,2.8400,2.8300,2.8300,1200
1430153611,2.8370,2.8370,2.8370,2.8370,100
1430154493,2.8400,2.8400,2.8400,2.8400,100
1430155278,2.8400,2.8400,2.8400,2.8400,100
1430156730,2.8400,2.8400,2.8400,2.8400,200
1430160802,2.8400,2.8400,2.8400,2.8400,100
1430162297,2.8400,2.8400,2.8400,2.8400,400
1430163214,2.8400,2.8400,2.8400,2.8400,100
1430163369,2.8400,2.8400,2.8400,2.8400,100
1430163605,2.8400,2.8400,2.8400,2.8400,100
1430164107,2.8400,2.8400,2.8400,2.8400,100
1430164784,2.8400,2.8400,2.8400,2.8400,500
1430164800,2.8500,2.8500,2.8500,2.8500,1900
1430228114,2.8100,2.8100,2.8100,2.8100,0
1430228459,2.8300,2.8300,2.8300,2.8300,200
1430230468,2.8200,2.8200,2.8200,2.8200,200
1430231372,2.8200,2.8200,2.8200,2.8200,1100
1430231501,2.8101,2.8101,2.8101,2.8101,100
1430232005,2.8200,2.8200,2.8200,2.8200,300
1430232434,2.8150,2.8150,2.8100,2.8100,1000
1430233043,2.8200,2.8200,2.8200,2.8200,100
1430233754,2.8100,2.8170,2.8100,2.8170,600
1430233872,2.8200,2.8200,2.8200,2.8200,100
1430234370,2.8100,2.8100,2.8100,2.8100,100
1430234937,2.8100,2.8100,2.8100,2.8100,100
1430235118,2.8100,2.8100,2.8100,2.8100,1200
1430236174,2.8001,2.8001,2.8001,2.8001,100
1430237283,2.8100,2.8100,2.8100,2.8100,2600
1430237588,2.8100,2.8100,2.8100,2.8100,100
1430238196,2.8020,2.8020,2.8020,2.8020,1200
1430238691,2.8050,2.8050,2.8050,2.8050,100
1430239100,2.8080,2.8080,2.8080,2.8080,500
1430239615,2.8100,2.8100,2.8100,2.8100,100
1430240070,2.8001,2.8001,2.8001,2.8001,800
1430240197,2.8001,2.8001,2.8000,2.8000,300
1430240608,2.8000,2.8000,2.8000,2.8000,3700
1430241867,2.8000,2.8000,2.8000,2.8000,5700
1430242273,2.8100,2.8100,2.8100,2.8100,300
1430242717,2.8100,2.8100,2.8100,2.8100,100
1430243266,2.8100,2.8100,2.8100,2.8100,200
1430243589,2.8000,2.8100,2.8000,2.8001,900
1430244202,2.8000,2.8080,2.8000,2.8080,1100
1430244313,2.8000,2.8000,2.8000,2.8000,100
1430245004,2.8100,2.8100,2.8100,2.8100,100
1430245287,2.8000,2.8000,2.8000,2.8000,300
1430245942,2.8100,2.8100,2.8100,2.8100,200
1430247190,2.8200,2.8200,2.8100,2.8100,1800
1430247585,2.8199,2.8200,2.8199,2.8200,1300
1430247869,2.8200,2.8200,2.8200,2.8200,300
1430248070,2.8200,2.8200,2.8100,2.8200,2800
1430248210,2.8200,2.8200,2.8200,2.8200,100
1430248783,2.8200,2.8200,2.8200,2.8200,200
1430248839,2.8200,2.8200,2.8200,2.8200,100
1430249621,2.8200,2.8200,2.8200,2.8200,200
1430249733,2.8200,2.8200,2.8200,2.8200,200
1430250282,2.8000,2.8120,2.8000,2.8120,2500
1430250509,2.8200,2.8200,2.8200,2.8200,100
1430250821,2.8100,2.8100,2.8100,2.8100,500
1430251190,2.8300,2.9100,2.8000,2.8000,11400
1430315657,2.8250,2.8250,2.8250,2.8250,0
1430316170,2.8400,2.8400,2.8400,2.8400,100
1430316335,2.8500,2.8500,2.8500,2.8500,500
1430316779,2.8209,2.8240,2.8200,2.8240,2800
1430319989,2.8300,2.8300,2.8300,2.8300,1100
1430320445,2.8212,2.8212,2.8212,2.8212,200
1430321429,2.8300,2.8300,2.8300,2.8300,100
1430322182,2.8101,2.8101,2.8101,2.8101,1000
1430323228,2.8198,2.8198,2.8198,2.8198,100
1430324615,2.8300,2.8300,2.8300,2.8300,100
1430325120,2.8300,2.8300,2.8300,2.8300,100
1430325684,2.8300,2.8300,2.8300,2.8300,100
1430326348,2.8300,2.8300,2.8300,2.8300,100
1430326773,2.8300,2.8300,2.8300,2.8300,100
1430326903,2.8300,2.8300,2.8300,2.8300,100
1430328144,2.8300,2.8300,2.8300,2.8300,100
1430328323,2.8300,2.8300,2.8300,2.8300,100
1430329318,2.8300,2.8300,2.8300,2.8300,100
1430330279,2.8300,2.8300,2.8300,2.8300,100
1430331184,2.8300,2.8300,2.8300,2.8300,100
1430331985,2.8260,2.8260,2.8210,2.8210,3200
1430333082,2.8300,2.8300,2.8300,2.8300,100
1430333307,2.8300,2.8300,2.8300,2.8300,200
1430333419,2.8300,2.8300,2.8300,2.8300,100
1430335720,2.8300,2.8300,2.8300,2.8300,200
1430335990,2.8300,2.8300,2.8300,2.8300,100
1430336944,2.8300,2.8300,2.8300,2.8300,200
1430337239,2.8300,2.8300,2.8300,2.8300,200
1430337422,2.8300,2.8300,2.8300,2.8300,200
1430400600,2.8300,2.8300,2.8300,2.8300,0
1430402026,2.8300,2.8300,2.8300,2.8300,1500
1430403569,2.8100,2.8172,2.8100,2.8172,3800
1430404075,2.7800,2.8100,2.7600,2.8000,12500
1430404485,2.7203,2.7800,2.7100,2.7800,10000
1430404827,2.7245,2.7348,2.7245,2.7348,400
1430405388,2.7200,2.7348,2.7200,2.7348,4100
1430405597,2.7100,2.7200,2.7100,2.7200,1100
1430405817,2.7200,2.7200,2.7200,2.7200,100
1430406538,2.7100,2.7125,2.7100,2.7100,4000
1430406771,2.7001,2.7100,2.7000,2.7100,4200
