uri:/instrument/1.0/GENE/chartdata;type=quote;range=500d/csv
ticker:gene
Company-Name:Genetic Technologies Ltd
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.4600
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:4.2500,4.9500
high:4.2558,5.0500
low:4.2500,4.9200
open:4.2500,4.9300
volume:0,399400
1429882417,4.7399,4.8100,4.7333,4.8100,34500
1429882791,4.7250,4.7372,4.7000,4.7300,21400
1429883028,4.7664,4.7700,4.7200,4.7300,17100
1429883383,4.7900,4.7900,4.7700,4.7800,11700
1429883657,4.7277,4.7700,4.7200,4.7700,22400
1429883962,4.7399,4.7449,4.7200,4.7200,4100
1429884268,4.8500,4.9000,4.7400,4.7400,128100
1429884560,4.8300,4.8600,4.8210,4.8251,11500
1429884898,4.8300,4.8401,4.8030,4.8300,12400
1429885172,4.7899,4.8150,4.7500,4.8101,21300
1429885380,4.7999,4.7999,4.7500,4.7500,1400
1429885749,4.7900,4.8000,4.7830,4.7933,10700
1429886052,4.7700,4.7900,4.7600,4.7900,7200
1429886306,4.7701,4.7900,4.7700,4.7900,5800
1429886643,4.7800,4.7837,4.7700,4.7837,800
1429886960,4.7840,4.7900,4.7800,4.7810,3000
1429887244,4.8073,4.8100,4.7800,4.7800,7400
1429887595,4.8600,4.9200,4.8001,4.8001,100400
1429887867,4.9100,4.9100,4.8700,4.8700,15900
1429888137,4.9099,4.9099,4.8900,4.9050,13400
1429888482,4.8830,4.9200,4.8800,4.9096,21000
1429888794,4.9200,4.9400,4.8800,4.8850,33000
1429888920,4.9500,4.9600,4.9200,4.9300,25400
1429889364,4.8810,4.9231,4.8800,4.9231,12900
1429889492,4.9100,4.9100,4.8950,4.8950,800
1429889844,4.8818,4.8818,4.8300,4.8800,17200
1429890197,4.8547,4.8681,4.8547,4.8681,6600
1429890325,4.8100,4.8500,4.8100,4.8500,4400
1429890864,4.8100,4.8400,4.8100,4.8156,10600
1429891115,4.8595,4.8600,4.8400,4.8400,5700
1429891478,4.8399,4.8800,4.8000,4.8400,22800
1429892037,4.8400,4.8400,4.8366,4.8400,1500
1429892178,4.8400,4.8400,4.8310,4.8310,2100
1429892520,4.8000,4.8350,4.8000,4.8272,28300
1429892916,4.8150,4.8150,4.8000,4.8000,11200
1429893201,4.8100,4.8100,4.8100,4.8100,500
1429893566,4.8100,4.8100,4.8100,4.8100,3500
1429893890,4.8000,4.8101,4.8000,4.8100,5000
1429894199,4.8000,4.8156,4.8000,4.8100,12800
1429894467,4.7760,4.8032,4.7600,4.8032,10800
1429894790,4.7700,4.7731,4.7530,4.7700,21500
1429894996,4.7552,4.7800,4.7552,4.7750,13200
1429895365,4.7700,4.7800,4.7700,4.7748,5600
1429895668,4.7500,4.7700,4.7500,4.7700,2500
1429895898,4.7700,4.7700,4.7500,4.7500,7000
1429896287,4.7599,4.7599,4.7500,4.7582,2600
1429896423,4.7500,4.7500,4.7500,4.7500,100
1429896827,4.7300,4.7599,4.7300,4.7599,3300
1429897116,4.7200,4.7200,4.7100,4.7200,6000
1429897491,4.7299,4.7299,4.7100,4.7200,2900
1429897718,4.7240,4.7298,4.7160,4.7160,2600
1429897990,4.7000,4.7182,4.7000,4.7100,21100
1429898301,4.7200,4.7200,4.7117,4.7200,7600
1429898646,4.7210,4.7300,4.7100,4.7100,1500
1429898979,4.7324,4.7380,4.7231,4.7380,400
1429899258,4.7480,4.7500,4.7391,4.7391,4400
1429899381,4.7400,4.7400,4.7400,4.7400,900
1429899880,4.7480,4.7500,4.7480,4.7500,1300
1429900055,4.7400,4.7400,4.7400,4.7400,400
1429900470,4.7200,4.7400,4.7200,4.7400,5300
1429900703,4.7300,4.7300,4.7300,4.7300,100
1429901085,4.7300,4.7380,4.7200,4.7279,3100
1429901349,4.7200,4.7300,4.7200,4.7300,500
1429901672,4.7100,4.7200,4.7100,4.7200,3100
1429901932,4.7200,4.7300,4.7100,4.7100,16800
1429902272,4.7241,4.7280,4.7241,4.7241,7100
1429902485,4.7200,4.7200,4.7200,4.7200,500
1429902612,4.7200,4.7200,4.7200,4.7200,600
1429903166,4.7200,4.7300,4.7200,4.7200,500
1429903483,4.7100,4.7242,4.7100,4.7200,5000
1429903710,4.7100,4.7200,4.7000,4.7100,10400
1429904075,4.7000,4.7100,4.7000,4.7100,7000
1429904363,4.7049,4.7100,4.7000,4.7000,48000
1429904640,4.6983,4.7148,4.6907,4.7000,21100
1429904950,4.7060,4.7060,4.7000,4.7000,1300
1429905277,4.7070,4.7400,4.6950,4.7100,28000
1429905544,4.6800,4.7100,4.6800,4.7070,46600
1429905600,4.7000,4.7000,4.7000,4.7000,14100
1430141602,4.5399,4.6400,4.5200,4.5807,0
1430141950,4.6000,4.6000,4.5510,4.5701,31600
1430142299,4.5800,4.6199,4.5800,4.6000,18400
1430142524,4.5900,4.6000,4.5704,4.5800,24400
1430142897,4.5600,4.5801,4.5500,4.5701,12600
1430143111,4.5900,4.5900,4.5500,4.5500,6900
1430143498,4.5799,4.5900,4.5600,4.5800,8600
1430143764,4.5824,4.5828,4.5800,4.5800,3900
1430144079,4.5899,4.6000,4.5600,4.5800,10100
1430144370,4.6600,4.6600,4.5800,4.5899,23900
1430144645,4.6350,4.6700,4.6350,4.6700,20800
1430144995,4.6200,4.6499,4.6200,4.6499,4400
1430145260,4.6101,4.6380,4.6101,4.6110,15500
1430145588,4.6200,4.6302,4.6101,4.6101,3500
1430145892,4.6300,4.6392,4.6300,4.6392,1100
1430146050,4.6351,4.6600,4.6301,4.6449,7600
1430146470,4.6100,4.6500,4.6100,4.6451,9800
1430146697,4.6300,4.6451,4.6300,4.6451,500
1430147081,4.6446,4.6446,4.6200,4.6300,2700
1430147245,4.6499,4.6499,4.6200,4.6300,3500
1430147601,4.6101,4.6230,4.6100,4.6230,2200
1430148264,4.6200,4.6200,4.6100,4.6100,2100
1430148593,4.6100,4.6199,4.6000,4.6052,6500
1430148876,4.6100,4.6300,4.6100,4.6300,3300
1430149078,4.6101,4.6101,4.6101,4.6101,1000
1430149284,4.6124,4.6219,4.6124,4.6200,1300
1430149768,4.6200,4.6200,4.5800,4.6100,10900
1430150090,4.5800,4.6028,4.5800,4.6028,5500
1430150383,4.5400,4.5870,4.5400,4.5701,8400
1430150667,4.5499,4.5666,4.5400,4.5562,8100
1430150999,4.5650,4.5650,4.5400,4.5499,11700
1430151262,4.5650,4.5686,4.5600,4.5600,6200
1430151578,4.5600,4.5700,4.5600,4.5600,4000
1430151822,4.5617,4.5617,4.5600,4.5601,5800
1430152095,4.5529,4.5640,4.5400,4.5600,17100
1430152491,4.5300,4.5520,4.5300,4.5501,10200
1430152786,4.5189,4.5300,4.5100,4.5286,30200
1430153057,4.5100,4.5250,4.5100,4.5250,6700
1430153364,4.5099,4.5101,4.5000,4.5100,31900
1430153692,4.5099,4.5100,4.5000,4.5096,10900
1430153908,4.5200,4.5200,4.5100,4.5200,3300
1430154176,4.5200,4.5200,4.5114,4.5200,1300
1430154573,4.5101,4.5199,4.5100,4.5199,800
1430154845,4.5100,4.5150,4.5100,4.5100,1700
1430155178,4.5001,4.5101,4.5000,4.5000,11300
1430155445,4.5000,4.5100,4.5000,4.5010,5800
1430155765,4.5100,4.5100,4.5000,4.5000,3900
1430156032,4.5200,4.5200,4.5100,4.5101,4900
1430156119,4.5199,4.5199,4.5199,4.5199,800
1430156440,4.5100,4.5100,4.5100,4.5100,3500
1430156906,4.5001,4.5100,4.5001,4.5100,2700
1430157273,4.5000,4.5083,4.5000,4.5051,3100
1430157315,4.4800,4.5001,4.4800,4.5000,13400
1430157876,4.5000,4.5099,4.4900,4.4901,2500
1430158130,4.5100,4.5100,4.4800,4.4999,3400
1430158417,4.4900,4.4990,4.4900,4.4990,3500
1430158763,4.4928,4.4999,4.4800,4.4900,7600
1430158938,4.4943,4.4990,4.4900,4.4900,5400
1430159250,4.4978,4.4999,4.4978,4.4984,4400
1430159666,4.4943,4.5000,4.4900,4.5000,5700
1430159965,4.4810,4.4900,4.4800,4.4900,11500
1430160023,4.4862,4.4862,4.4862,4.4862,1000
1430160561,4.4800,4.4880,4.4800,4.4880,5300
1430160858,4.4800,4.4849,4.4500,4.4800,13800
1430161090,4.4700,4.4800,4.4700,4.4799,7900
1430161453,4.4800,4.4800,4.4500,4.4628,6100
1430161750,4.4800,4.4800,4.4702,4.4732,1200
1430162386,4.4686,4.4900,4.4686,4.4800,6300
1430162535,4.4770,4.4770,4.4770,4.4770,600
1430162944,4.4700,4.4780,4.4700,4.4700,2600
1430163299,4.4700,4.4800,4.4700,4.4799,6800
1430163526,4.4800,4.4800,4.4717,4.4717,1800
1430163852,4.4700,4.4856,4.4700,4.4822,11500
