uri:/instrument/1.0/OCRX/chartdata;type=quote;range=500d/csv
ticker:ocrx
Company-Name:Ocera Therapeutics, Inc.
Exchange-Name:NGM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:3.8200
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:3.3200,4.0620
high:3.3201,4.1300
low:3.2950,4.0410
open:3.3200,4.0800
volume:0,170800
1429882200,3.8500,3.8500,3.8500,3.8500,1200
1429882749,3.8800,3.8800,3.8200,3.8600,1400
1429883032,3.8800,3.8900,3.8800,3.8800,300
1429883340,3.9000,3.9000,3.8600,3.8900,600
1429883494,3.8800,3.9325,3.8800,3.9000,6700
1429884183,3.9200,3.9200,3.9200,3.9200,200
1429884453,3.8900,3.9200,3.8900,3.9200,1200
1429884858,3.9000,3.9300,3.9000,3.9200,300
1429885141,3.9200,3.9200,3.9200,3.9200,200
1429885448,3.9400,3.9400,3.9200,3.9200,200
1429885755,3.9300,3.9400,3.9100,3.9400,400
1429886050,3.9400,3.9400,3.9400,3.9400,100
1429886230,3.9300,3.9400,3.9300,3.9400,800
1429886520,3.9000,3.9400,3.9000,3.9400,200
1429886807,3.9100,3.9300,3.9100,3.9300,700
1429887183,3.9400,3.9400,3.9300,3.9300,200
1429887544,3.9100,3.9400,3.9100,3.9400,300
1429887859,3.9300,3.9400,3.9200,3.9200,800
1429888043,3.9300,3.9400,3.9300,3.9400,900
1429888342,3.9400,3.9400,3.9400,3.9400,1600
1429888693,3.9800,3.9800,3.9300,3.9500,1200
1429888922,3.9300,3.9900,3.9300,3.9900,4300
1429889948,3.9600,3.9600,3.9600,3.9600,400
1429890183,3.9600,3.9600,3.9600,3.9600,100
1429890381,3.9400,3.9600,3.9400,3.9600,300
1429892367,3.9500,3.9500,3.9000,3.9500,14400
1429893587,3.9500,3.9500,3.9500,3.9500,500
1429893648,3.9500,3.9500,3.9500,3.9500,100
1429894343,3.9500,3.9500,3.9500,3.9500,100
1429894788,3.9230,3.9230,3.9200,3.9200,700
1429895191,3.9214,3.9214,3.9214,3.9214,100
1429895442,3.9340,3.9340,3.9340,3.9340,100
1429896289,3.9100,3.9100,3.9100,3.9100,400
1429896460,3.8553,3.9200,3.8500,3.9100,6200
1429896715,3.8900,3.8900,3.8900,3.8900,600
1429897245,3.9000,3.9000,3.9000,3.9000,500
1429898454,3.9100,3.9100,3.9100,3.9100,600
1429898888,3.8800,3.8800,3.8800,3.8800,300
1429899965,3.8800,3.9000,3.8800,3.9000,800
1429900346,3.8820,3.8820,3.8820,3.8820,400
1429903974,3.9000,3.9000,3.9000,3.9000,100
1429904396,3.8800,3.8800,3.8700,3.8700,600
1429904419,3.8800,3.8800,3.8700,3.8700,600
1429904861,3.9000,3.9000,3.9000,3.9000,100
1429905544,3.8900,3.9100,3.8900,3.9000,1900
1429905600,3.8900,3.8900,3.8900,3.8900,0
1430141949,3.8300,3.8800,3.8300,3.8800,0
1430142138,3.8100,3.8580,3.8100,3.8300,2500
1430142552,3.8101,3.8103,3.8100,3.8103,500
1430143349,3.7600,3.8400,3.7600,3.8400,8300
1430143793,3.7600,3.7999,3.7600,3.7999,1800
1430144158,3.7700,3.7800,3.7500,3.7600,4800
1430144411,3.7700,3.7700,3.7700,3.7700,100
1430144910,3.7900,3.8000,3.7700,3.8000,2600
1430145545,3.7900,3.7900,3.7900,3.7900,400
1430145605,3.7700,3.7700,3.7700,3.7700,300
1430146480,3.7900,3.7900,3.7700,3.7800,1600
1430146571,3.7860,3.7860,3.7500,3.7500,1300
1430146849,3.7700,3.7710,3.7700,3.7700,400
