uri:/instrument/1.0/XNPT/chartdata;type=quote;range=500d/csv
ticker:xnpt
Company-Name:XenoPort, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:5.6100
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:5.3900,7.5699
high:5.4600,7.5700
low:5.3500,7.5401
open:5.4300,7.5699
volume:0,75100
1429882392,7.5200,7.5200,7.5200,7.5200,5100
1429882696,7.4900,7.5200,7.4500,7.4500,5900
1429882893,7.5214,7.5214,7.5100,7.5100,700
1429883245,7.5200,7.5200,7.5200,7.5200,100
1429883551,7.5200,7.5300,7.5200,7.5200,700
1429883987,7.5699,7.5700,7.5360,7.5360,1800
1429884294,7.5200,7.5699,7.5100,7.5699,2800
1429884594,7.4800,7.5100,7.4700,7.4800,2600
1429884772,7.4900,7.5000,7.4800,7.4800,1200
1429884966,7.5000,7.5000,7.5000,7.5000,700
1429885473,7.5000,7.5000,7.4899,7.4899,1700
1429885545,7.5200,7.5200,7.5080,7.5100,1000
1429886084,7.5300,7.5400,7.5300,7.5400,800
1429886389,7.5500,7.5500,7.5300,7.5300,3100
1429886427,7.5401,7.5401,7.5401,7.5401,700
1429886983,7.5200,7.5500,7.5200,7.5500,1300
1429887190,7.5100,7.5100,7.5000,7.5100,1100
1429887857,7.5100,7.5150,7.4900,7.5100,3400
1429888089,7.5250,7.5250,7.5100,7.5100,1000
1429888475,7.5150,7.5200,7.5150,7.5200,800
1429888773,7.4900,7.5100,7.4850,7.5100,2000
1429889049,7.5100,7.5500,7.5000,7.5000,6100
1429889351,7.5100,7.5100,7.5100,7.5100,300
1429889596,7.4700,7.5000,7.4700,7.5000,400
1429889998,7.4700,7.4750,7.4500,7.4700,2200
1429890298,7.4900,7.5300,7.4700,7.4700,6500
1429890563,7.4900,7.4900,7.4700,7.4800,1400
1429890843,7.4900,7.4900,7.4800,7.4800,1000
1429891060,7.4900,7.5400,7.4900,7.5000,7700
1429891729,7.4700,7.4700,7.4600,7.4700,1100
1429892089,7.4576,7.4601,7.4576,7.4600,1800
1429892369,7.4500,7.4500,7.4500,7.4500,200
1429892569,7.4400,7.4500,7.4400,7.4500,2500
1429892921,7.4400,7.4400,7.4100,7.4400,4700
1429893198,7.4300,7.4300,7.4300,7.4300,100
1429893574,7.4399,7.4399,7.4399,7.4399,100
1429893758,7.4300,7.4300,7.4050,7.4200,2000
1429894105,7.4100,7.4100,7.4100,7.4100,100
1429894499,7.4225,7.4225,7.4100,7.4100,1400
1429894996,7.4200,7.4250,7.4100,7.4100,1300
1429895178,7.4000,7.4100,7.4000,7.4100,400
1429895578,7.4000,7.4000,7.3900,7.3900,300
1429895766,7.4100,7.4100,7.3800,7.3900,4400
1429896047,7.3900,7.3900,7.3900,7.3900,300
1429896502,7.3951,7.3951,7.3900,7.3900,700
1429896625,7.4000,7.4000,7.3900,7.3900,1200
1429897156,7.4000,7.4099,7.3801,7.3801,1000
1429897461,7.3900,7.3900,7.3900,7.3900,200
1429897715,7.3600,7.4000,7.3600,7.3900,4200
1429898099,7.3430,7.3600,7.3430,7.3600,1700
1429898306,7.3500,7.3500,7.3400,7.3490,2900
1429898579,7.3500,7.3500,7.3500,7.3500,200
1429898881,7.3500,7.3599,7.3500,7.3599,3500
1429899240,7.3450,7.3450,7.3450,7.3450,400
1429899599,7.3400,7.3500,7.3350,7.3400,1900
1429899723,7.4000,7.4000,7.3400,7.3400,3300
1429900170,7.4000,7.4100,7.3900,7.4100,500
1429900458,7.4200,7.4200,7.4000,7.4000,3600
1429900682,7.4200,7.4200,7.4200,7.4200,200
1429901013,7.4200,7.4200,7.4200,7.4200,300
