uri:/instrument/1.0/FXEN/chartdata;type=quote;range=500d/csv
ticker:fxen
Company-Name:FX Energy, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1.1900
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:1.0800,1.4021
high:1.1200,1.4300
low:1.0800,1.4021
open:1.0900,1.4100
volume:0,92200
1429882497,1.3700,1.3700,1.3550,1.3600,16800
1429882726,1.3800,1.3800,1.3700,1.3700,2500
1429883003,1.3900,1.4100,1.3800,1.3820,11700
1429883392,1.3801,1.3801,1.3801,1.3801,100
1429883455,1.3800,1.3800,1.3800,1.3800,100
1429883982,1.3600,1.3600,1.3600,1.3600,1800
1429884232,1.3600,1.3600,1.3600,1.3600,100
1429884382,1.3600,1.3600,1.3600,1.3600,600
1429884875,1.3500,1.3500,1.3500,1.3500,100
1429885172,1.3500,1.3500,1.3500,1.3500,100
1429885472,1.3500,1.3500,1.3500,1.3500,800
1429886051,1.3500,1.3600,1.3500,1.3500,4500
1429886272,1.3501,1.3600,1.3500,1.3500,1200
1429886482,1.3500,1.3500,1.3500,1.3500,100
1429886984,1.3595,1.3600,1.3500,1.3500,1500
1429887174,1.3500,1.3500,1.3500,1.3500,600
1429887595,1.3900,1.4200,1.3500,1.3500,42800
1429887843,1.3800,1.4000,1.3800,1.3900,1800
1429888088,1.3900,1.3900,1.3800,1.3849,500
1429888405,1.3800,1.3800,1.3800,1.3800,300
1429888796,1.3800,1.3828,1.3800,1.3800,1000
1429889017,1.3991,1.4000,1.3900,1.3900,3800
1429889200,1.4000,1.4000,1.4000,1.4000,700
1429889576,1.3900,1.4000,1.3900,1.4000,400
1429889967,1.3900,1.3900,1.3900,1.3900,3300
1429890190,1.3900,1.3900,1.3900,1.3900,500
1429890567,1.3900,1.4000,1.3900,1.3900,1300
1429890858,1.3900,1.3900,1.3900,1.3900,200
1429891184,1.3900,1.4000,1.3900,1.4000,200
1429891453,1.4000,1.4000,1.4000,1.4000,200
1429891745,1.3900,1.3900,1.3900,1.3900,200
1429891876,1.3900,1.3900,1.3900,1.3900,500
1429892383,1.4000,1.4000,1.3900,1.3900,400
1429892587,1.3900,1.3901,1.3900,1.3901,200
1429892966,1.3900,1.3987,1.3900,1.3987,700
1429893275,1.4000,1.4000,1.3900,1.4000,400
1429893534,1.3999,1.3999,1.3900,1.3900,600
1429893819,1.3800,1.3900,1.3800,1.3900,7900
1429894050,1.3800,1.3800,1.3800,1.3800,1100
1429894444,1.3700,1.3800,1.3700,1.3700,300
1429894651,1.3700,1.3700,1.3700,1.3700,100
1429895067,1.3800,1.3800,1.3700,1.3700,7100
1429895317,1.3900,1.3900,1.3790,1.3790,7300
1429895634,1.3900,1.3970,1.3900,1.3970,500
1429895947,1.4000,1.4000,1.3800,1.3987,2400
1429896474,1.3900,1.3999,1.3900,1.3900,1500
1429896842,1.3900,1.3900,1.3900,1.3900,2300
1429896963,1.3900,1.3900,1.3900,1.3900,600
1429897473,1.3900,1.3945,1.3900,1.3900,5400
1429897619,1.3816,1.3900,1.3816,1.3900,400
1429897833,1.3800,1.3800,1.3800,1.3800,100
1429898224,1.3800,1.3810,1.3800,1.3800,400
1429898657,1.3900,1.3900,1.3900,1.3900,400
1429898896,1.3810,1.3899,1.3800,1.3899,6000
1429899128,1.3800,1.3801,1.3800,1.3801,1100
1429899554,1.3900,1.3900,1.3800,1.3800,700
1429899869,1.3800,1.3899,1.3800,1.3800,1800
1429900102,1.3900,1.3900,1.3800,1.3800,200
1429900444,1.3900,1.3900,1.3900,1.3900,300
1429901074,1.3800,1.3801,1.3800,1.3800,5600
1429901230,1.3800,1.3800,1.3800,1.3800,200
1429901617,1.3800,1.3900,1.3800,1.3800,6900
1429901962,1.3800,1.3800,1.3800,1.3800,200
1429902265,1.3800,1.3900,1.3800,1.3800,9400
1429902559,1.3700,1.3700,1.3700,1.3700,3200
1429902860,1.3700,1.3700,1.3700,1.3700,800
1429903088,1.3516,1.3616,1.3516,1.3616,1700
1429903480,1.3516,1.3516,1.3500,1.3500,1200
1429903723,1.3516,1.3600,1.3500,1.3516,900
1429903989,1.3500,1.3600,1.3500,1.3500,900
1429904344,1.3516,1.3600,1.3500,1.3500,500
1429904649,1.3500,1.3600,1.3500,1.3500,600
1429904997,1.3500,1.3600,1.3500,1.3500,3900
1429905284,1.3516,1.3600,1.3500,1.3516,3800
1429905563,1.3500,1.3600,1.3500,1.3516,8200
1429905600,1.3600,1.3600,1.3600,1.3600,0
1430141634,1.3600,1.3600,1.3600,1.3600,0
1430141816,1.3600,1.3600,1.3600,1.3600,100
1430142235,1.3700,1.3700,1.3600,1.3600,400
1430142500,1.3500,1.3600,1.3500,1.3600,13500
1430142790,1.3500,1.3500,1.3500,1.3500,100
1430143184,1.3500,1.3500,1.3500,1.3500,400
1430143453,1.3500,1.3600,1.3500,1.3500,4000
1430143501,1.3600,1.3600,1.3600,1.3600,100
1430144051,1.3500,1.3500,1.3500,1.3500,200
1430144170,1.3500,1.3590,1.3500,1.3590,300
1430144625,1.3600,1.3600,1.3500,1.3500,4300
1430144974,1.3500,1.3550,1.3500,1.3500,400
1430145235,1.3500,1.3599,1.3500,1.3599,800
1430145300,1.3500,1.3500,1.3500,1.3500,100
1430145814,1.3500,1.3500,1.3500,1.3500,200
1430146378,1.3500,1.3600,1.3500,1.3500,700
1430146743,1.3600,1.3600,1.3500,1.3500,1800
1430146964,1.3500,1.3600,1.3500,1.3600,400
1430147234,1.3500,1.3600,1.3500,1.3550,7900
1430147602,1.3500,1.3500,1.3500,1.3500,200
1430147819,1.3500,1.3600,1.3500,1.3600,7800
1430148119,1.3500,1.3500,1.3500,1.3500,100
1430148319,1.3500,1.3500,1.3500,1.3500,100
1430148719,1.3689,1.3700,1.3500,1.3501,13300
1430149193,1.3800,1.3899,1.3650,1.3700,11700
1430149248,1.3900,1.3900,1.3900,1.3900,100
1430149680,1.3900,1.3900,1.3700,1.3801,6600
1430150003,1.3700,1.3800,1.3700,1.3800,400
1430150391,1.3700,1.3710,1.3600,1.3700,1000
1430150672,1.3600,1.3680,1.3600,1.3600,800
1430150912,1.3600,1.3600,1.3600,1.3600,100
1430151167,1.3600,1.3600,1.3600,1.3600,300
1430151589,1.3700,1.4100,1.3650,1.3650,26800
1430152111,1.4000,1.4300,1.3800,1.3900,26800
1430152274,1.3800,1.3800,1.3800,1.3800,400
1430152769,1.3700,1.3700,1.3700,1.3700,300
1430153004,1.3700,1.3700,1.3700,1.3700,500
1430153239,1.3600,1.3700,1.3600,1.3700,300
1430153654,1.3600,1.3700,1.3600,1.3700,700
1430153812,1.3600,1.3600,1.3600,1.3600,200
1430154260,1.3600,1.3600,1.3600,1.3600,200
1430154566,1.3603,1.3603,1.3600,1.3600,200
1430154785,1.3600,1.3603,1.3600,1.3603,1000
1430155191,1.3600,1.3601,1.3600,1.3600,14200
1430155626,1.3600,1.3600,1.3600,1.3600,200
1430156046,1.3600,1.3600,1.3600,1.3600,600
1430156362,1.3603,1.3603,1.3600,1.3600,1200
1430156629,1.3600,1.3600,1.3600,1.3600,200
1430156966,1.3600,1.3600,1.3600,1.3600,1000
1430157242,1.3650,1.3650,1.3650,1.3650,300
1430157373,1.3600,1.3600,1.3600,1.3600,600
1430157783,1.3600,1.3600,1.3600,1.3600,1500
1430158089,1.3600,1.3600,1.3600,1.3600,200
1430158479,1.3600,1.3600,1.3600,1.3600,300
1430158660,1.3600,1.3600,1.3600,1.3600,100
1430159078,1.3600,1.3600,1.3600,1.3600,500
1430159317,1.3600,1.3600,1.3600,1.3600,500
1430159695,1.3601,1.3700,1.3600,1.3616,5400
1430159980,1.3600,1.3600,1.3600,1.3600,700
1430160277,1.3600,1.3600,1.3600,1.3600,500
1430160576,1.3600,1.3600,1.3600,1.3600,100
1430160872,1.3600,1.3601,1.3600,1.3601,400
1430161186,1.3600,1.3600,1.3600,1.3600,300
1430161450,1.3600,1.3600,1.3600,1.3600,100
1430161742,1.3600,1.3600,1.3600,1.3600,100
1430162069,1.3600,1.3643,1.3600,1.3643,1000
1430162372,1.3600,1.3600,1.3600,1.3600,1600
1430162566,1.3601,1.3601,1.3600,1.3600,2100
1430162947,1.3611,1.3611,1.3600,1.3601,1000
1430163140,1.3600,1.3600,1.3600,1.3600,300
1430163555,1.3600,1.3600,1.3600,1.3600,500
1430163788,1.3600,1.3630,1.3600,1.3600,2400
1430164064,1.3600,1.3600,1.3600,1.3600,700
1430164454,1.3600,1.3600,1.3600,1.3600,3400
1430164748,1.3600,1.3700,1.3600,1.3600,14400
1430164800,1.3600,1.3600,1.3600,1.3600,0
1430228564,1.3500,1.3600,1.3500,1.3600,0
1430228884,1.3600,1.3600,1.3600,1.3600,5400
1430229484,1.3600,1.3700,1.3600,1.3700,400
1430229875,1.3800,1.3800,1.3600,1.3600,2700
1430230078,1.3800,1.3800,1.3700,1.3700,3000
1430230389,1.3700,1.3700,1.3700,1.3700,2800
1430230717,1.3600,1.3600,1.3600,1.3600,200
1430231607,1.3500,1.3500,1.3500,1.3500,200
1430231834,1.3600,1.3600,1.3600,1.3600,200
1430232439,1.3600,1.3600,1.3600,1.3600,2400
1430233190,1.3600,1.3600,1.3500,1.3500,300
1430233284,1.3500,1.3542,1.3500,1.3542,700
1430233702,1.3599,1.3600,1.3500,1.3500,1100
1430233874,1.3550,1.3550,1.3500,1.3500,200
1430234233,1.3500,1.3500,1.3500,1.3500,100
1430234947,1.3500,1.3500,1.3500,1.3500,200
1430235180,1.3500,1.3600,1.3500,1.3560,1600
1430235441,1.3500,1.3599,1.3500,1.3500,11400
1430235640,1.3500,1.3500,1.3500,1.3500,100
1430236357,1.3500,1.3500,1.3500,1.3500,200
1430236745,1.3500,1.3600,1.3500,1.3530,800
1430237092,1.3500,1.3500,1.3500,1.3500,100
1430237400,1.3500,1.3500,1.3500,1.3500,100
1430237859,1.3500,1.3500,1.3500,1.3500,500
1430238647,1.3500,1.3500,1.3500,1.3500,200
1430239448,1.3500,1.3500,1.3500,1.3500,200
1430239800,1.3500,1.3500,1.3500,1.3500,100
