uri:/instrument/1.0/PCLN/chartdata;type=quote;range=500d/csv
ticker:pcln
Company-Name:The Priceline Group Inc. 
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1177.7500
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:1168.2900,1280.1700
high:1171.5583,1280.9700
low:1167.4950,1280.0000
open:1168.0200,1280.4900
volume:0,98900
1429882453,1234.0300,1235.0000,1229.4600,1229.4600,60600
1429882749,1229.2200,1234.0900,1229.2200,1234.0050,20800
1429883046,1230.1400,1231.4500,1229.4180,1230.7400,7900
1429883353,1232.8900,1233.0000,1229.6899,1230.7100,14500
1429883646,1233.8700,1233.8900,1231.2200,1232.6320,10700
1429883957,1231.8800,1233.1899,1230.9000,1232.2500,8400
1429884296,1230.4301,1232.9900,1229.8900,1232.5900,8900
1429884577,1228.0000,1230.0300,1227.9900,1229.9600,7500
1429884853,1230.2100,1231.0100,1228.2900,1228.3101,6700
1429885159,1230.8600,1231.2700,1229.6500,1229.9900,7900
1429885454,1231.6400,1232.3400,1230.4399,1230.9600,7300
1429885771,1228.9250,1232.0400,1228.9250,1231.4600,5800
1429886059,1228.0000,1231.6000,1227.6100,1228.5300,11500
1429886389,1229.1401,1229.1401,1227.6200,1228.8800,4900
1429886646,1228.4100,1228.8400,1227.9500,1228.7500,4200
1429886925,1228.5100,1229.1200,1227.8300,1228.0900,6200
1429887241,1229.2800,1230.0425,1228.2900,1228.3500,9900
1429887563,1228.7200,1229.3300,1228.6500,1228.8900,1500
1429887848,1228.0200,1229.2500,1228.0200,1228.7500,4300
1429888153,1229.9399,1229.9399,1228.2800,1228.9399,2900
1429888495,1229.7240,1229.8000,1228.8600,1229.8000,2600
1429888777,1232.1000,1232.8199,1229.3950,1229.3950,8000
1429888981,1232.0300,1232.3800,1231.1500,1231.9000,7400
1429889373,1232.3630,1232.3630,1231.2900,1231.5000,6000
1429889698,1231.8300,1232.0699,1230.8800,1232.0601,2600
1429889944,1231.2400,1231.8101,1230.9200,1231.5200,4900
1429890250,1231.3900,1231.6300,1230.7300,1231.6300,2100
1429890502,1231.2000,1231.7900,1230.9301,1230.9500,3800
1429890892,1231.2950,1232.3199,1231.0400,1231.4000,5700
1429891145,1232.3199,1232.3199,1230.2800,1231.0400,5800
1429891494,1233.3950,1233.7100,1232.4399,1232.4399,7000
1429891777,1232.1100,1232.9471,1232.1000,1232.9471,4700
1429891965,1231.4301,1232.5000,1231.4301,1232.5000,3000
1429892348,1231.9500,1232.2800,1231.8800,1232.0000,1400
1429892698,1233.9500,1233.9900,1232.2400,1232.2400,10900
1429892954,1234.8700,1235.0000,1233.8800,1233.9900,10100
1429893249,1234.2000,1234.9500,1233.4500,1234.0500,10100
1429893555,1233.2600,1233.9600,1233.2600,1233.9600,2600
1429893846,1233.7000,1233.9000,1233.4100,1233.6801,7600
1429894140,1232.6300,1233.7300,1232.5100,1233.7000,6500
1429894456,1232.6899,1233.4600,1232.6400,1232.6400,4700
1429894798,1232.7600,1232.7600,1232.7000,1232.7000,500
1429895051,1232.7650,1233.1500,1232.7650,1232.8500,1100
1429895380,1232.8300,1232.8300,1232.1000,1232.7500,3100
1429895654,1233.4000,1233.4000,1232.6093,1232.6093,3200
1429895944,1232.9500,1233.6899,1232.1000,1233.2500,5600
1429896241,1233.2400,1233.2400,1232.2375,1232.4800,2700
1429896547,1232.8300,1233.5100,1232.4500,1232.4500,3500
1429896876,1232.6461,1233.4200,1232.1000,1233.0500,6400
1429897148,1231.0500,1232.4600,1231.0500,1232.0800,3800
1429897410,1232.0000,1232.0000,1231.0500,1231.1400,3900
1429897750,1233.1700,1233.4000,1232.0000,1232.0000,3600
1429898022,1232.8300,1233.2000,1232.7100,1233.1600,1400
1429898226,1233.6899,1233.6899,1232.3300,1232.9100,6100
1429898654,1234.1110,1234.8101,1232.9250,1232.9250,9200
1429898945,1234.1801,1234.3700,1233.6350,1234.3700,3300
1429899284,1233.4200,1234.2300,1233.0100,1233.6000,4400
1429899548,1231.8300,1233.5900,1231.4000,1233.4200,3700
1429899868,1232.2000,1232.5000,1231.8000,1231.9900,4200
1429900154,1232.0100,1233.1600,1232.0100,1232.2200,11900
1429900464,1230.6200,1232.0000,1229.8000,1232.0000,9800
1429900621,1231.1899,1231.1899,1229.9923,1230.7600,1300
1429901046,1230.8800,1231.5100,1230.4500,1230.6500,5500
1429901307,1231.2100,1231.7800,1230.7900,1231.4800,2900
1429901529,1230.1700,1230.9800,1229.9800,1230.0000,1800
1429901996,1230.2100,1230.7800,1229.1500,1230.7800,4900
1429902278,1231.0000,1231.1600,1229.5500,1229.8700,6700
1429902548,1231.1200,1231.9000,1230.8550,1230.8550,4300
1429902858,1231.3600,1231.5350,1230.9000,1231.1200,4000
1429903081,1231.9500,1232.4399,1231.3500,1231.3500,5200
1429903452,1230.7000,1231.6400,1230.7000,1231.6400,7300
1429903769,1231.0000,1231.0000,1230.5400,1230.7400,4200
1429904093,1231.3600,1231.6200,1230.0500,1230.9800,8100
1429904375,1231.4000,1231.8400,1230.3500,1231.4500,9500
1429904640,1231.0900,1231.7900,1231.0900,1231.4900,9900
1429904885,1232.1100,1232.6801,1230.9600,1231.1000,8700
1429905296,1232.3800,1232.7200,1231.5500,1232.4900,29900
1429905540,1232.6700,1233.9700,1232.4000,1232.4000,35100
1429905600,1233.0900,1233.0900,1233.0900,1233.0900,14600
1430141644,1237.0300,1239.8025,1235.4000,1236.4800,0
1430141941,1240.8400,1241.9600,1235.9200,1237.1300,15800
1430142240,1241.0200,1243.3350,1240.5100,1240.5101,20500
1430142545,1243.3300,1243.3300,1240.0300,1241.2299,15700
1430142849,1247.8750,1247.9500,1242.9200,1243.4700,14200
1430143147,1246.7700,1248.4000,1245.6801,1248.0000,8800
1430143444,1244.6281,1247.0000,1244.1520,1245.6801,9700
1430143765,1246.7300,1246.7300,1243.1400,1244.2000,9000
1430144002,1247.5000,1247.5000,1246.1500,1247.1500,6600
1430144397,1249.0000,1249.0000,1247.2625,1247.4999,5100
1430144696,1251.2350,1252.9800,1248.3900,1249.0000,18700
1430144944,1253.5000,1253.9061,1251.1300,1251.4301,15700
1430145208,1251.9600,1253.7469,1251.7500,1253.5699,6200
1430145566,1250.8500,1252.4500,1250.2906,1252.1300,7200
1430145845,1253.5699,1254.9900,1251.3900,1251.3900,15700
1430146148,1255.5500,1255.9000,1253.1401,1253.1401,13000
1430146467,1254.5649,1255.7200,1254.0000,1255.2600,6500
1430146762,1256.2700,1256.9500,1254.5850,1254.5850,13700
1430147045,1256.3400,1257.9000,1255.5601,1255.7900,8200
1430147341,1258.4900,1258.9900,1254.6500,1255.5601,12100
1430147689,1259.1851,1259.8400,1258.0101,1258.0101,7300
1430147950,1258.4800,1259.7850,1258.4800,1259.3400,5000
1430148276,1258.3450,1260.0000,1258.3450,1260.0000,2000
1430148592,1258.4000,1258.4500,1256.5900,1258.4500,8800
1430148899,1260.8199,1260.8199,1258.2500,1258.2500,13600
1430149144,1260.9399,1262.2450,1259.3700,1260.8800,20700
1430149497,1261.1100,1261.9500,1260.2900,1260.9700,8800
1430149742,1260.9100,1261.8000,1260.5000,1261.3101,7600
1430150083,1262.0000,1262.0000,1260.0800,1260.9050,8700
1430150360,1259.2900,1261.0094,1258.9000,1261.0094,5500
1430150644,1258.3900,1259.7200,1258.3900,1259.3950,3600
1430150964,1258.9500,1258.9500,1258.0601,1258.7043,2200
1430151247,1256.7800,1259.0950,1256.7600,1258.5800,7000
1430151573,1254.8850,1256.7750,1254.7800,1256.0800,6800
1430151886,1256.5601,1257.0699,1254.2700,1254.7650,9800
1430152198,1257.3000,1258.4800,1256.7700,1256.7700,1900
1430152454,1256.5400,1258.4899,1256.5400,1258.0100,5400
1430152742,1257.0350,1257.9301,1256.2900,1257.0300,5100
1430153074,1255.8700,1256.8000,1255.8700,1256.3101,3800
1430153350,1257.0500,1257.1899,1255.5000,1255.5000,5500
1430153643,1254.2600,1256.1600,1254.2600,1256.1500,8400
1430153969,1253.4500,1253.9600,1252.0500,1253.9600,3700
1430154265,1254.7240,1254.7240,1252.7400,1252.7600,7700
1430154569,1254.4301,1255.5000,1254.4301,1254.7600,2000
1430154867,1253.1100,1254.0400,1252.7600,1254.0400,2400
1430155192,1253.0125,1253.7100,1252.4600,1253.0100,5400
1430155494,1252.4800,1253.6700,1252.4800,1252.9000,2800
1430155781,1252.2001,1253.3000,1251.6899,1252.3900,3100
1430156042,1254.9700,1254.9700,1252.8199,1252.8199,3500
1430156283,1254.9900,1254.9900,1254.0000,1254.7419,4900
1430156663,1254.2900,1255.4950,1254.1300,1254.1300,3600
1430156966,1254.4900,1255.0741,1254.1750,1254.8600,2300
1430157298,1254.2400,1255.1400,1252.9301,1254.4950,14000
1430157574,1254.1000,1254.8000,1253.8000,1254.0000,3300
1430157897,1253.2250,1254.4399,1253.2200,1253.7100,7500
1430158158,1255.1000,1255.2500,1252.7600,1252.8000,5500
1430158459,1253.4000,1255.6000,1252.9900,1255.3900,6700
1430158776,1254.7300,1255.0100,1253.8400,1254.1300,3800
1430159074,1253.7350,1255.0649,1253.5601,1254.7100,7500
1430159288,1255.5000,1255.9900,1253.3700,1253.5100,5900
1430159657,1255.6750,1255.6750,1253.8700,1255.6100,5100
1430159957,1253.9900,1254.9301,1253.7800,1254.9301,3100
1430160288,1253.4100,1254.3350,1253.0100,1253.3300,9000
1430160561,1254.8101,1255.4000,1253.3500,1254.0750,4500
1430160847,1254.8700,1254.8700,1252.7000,1254.6899,6000
1430161199,1256.0601,1256.0601,1254.5300,1254.9301,6500
1430161465,1256.7300,1257.3600,1255.7900,1256.1000,6100
1430161763,1256.7869,1256.8800,1256.2400,1256.8800,3200
1430162058,1255.4750,1256.9309,1255.4750,1256.6500,3600
1430162344,1251.6200,1255.2100,1251.6200,1255.2100,6900
1430162580,1252.3118,1252.3700,1251.0000,1251.0000,6500
1430162956,1253.2300,1254.5699,1251.5400,1251.9900,13900
1430163245,1253.4800,1254.0000,1251.5887,1253.0000,8100
1430163568,1253.1500,1254.2200,1252.1600,1254.2200,5600
1430163845,1253.4301,1253.4301,1252.1600,1253.1100,4100
1430164158,1253.0000,1253.3300,1251.1200,1252.7700,13900
1430164443,1251.1500,1253.2500,1251.1500,1253.2400,17600
1430164742,1253.3101,1253.3600,1251.4600,1251.7100,15600
1430164800,1253.2000,1253.2000,1253.2000,1253.2000,19500
1430228092,1250.3350,1252.5000,1250.3350,1251.4000,0
