uri:/instrument/1.0/CECO/chartdata;type=quote;range=500d/csv
ticker:ceco
Company-Name:Career Education Corporation
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.2400
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:4.0000,4.9500
high:4.0300,4.9550
low:4.0000,4.9100
open:4.0200,4.9475
volume:0,199400
1429882429,4.8300,4.8500,4.8300,4.8400,6000
1429882685,4.7700,4.8200,4.7700,4.8200,2800
1429883072,4.7800,4.7900,4.7700,4.7900,2500
1429883317,4.7600,4.7600,4.7500,4.7600,2900
1429883698,4.7600,4.7800,4.7600,4.7700,2300
1429883965,4.7780,4.7780,4.7600,4.7700,2100
1429884260,4.7350,4.7600,4.7200,4.7600,7700
1429884589,4.7300,4.7300,4.7100,4.7200,7600
1429884848,4.7400,4.7400,4.7200,4.7200,1900
1429885194,4.7300,4.7300,4.7300,4.7300,1500
1429885488,4.7200,4.7200,4.7200,4.7200,800
1429885788,4.7200,4.7200,4.7200,4.7200,1900
1429886050,4.7200,4.7300,4.7100,4.7200,4000
1429886341,4.7100,4.7200,4.7100,4.7200,900
1429886648,4.7200,4.7200,4.7100,4.7150,5200
1429886941,4.7200,4.7300,4.7100,4.7300,500
1429887276,4.7100,4.7300,4.7100,4.7100,6900
1429887576,4.7200,4.7200,4.7000,4.7050,1700
1429887839,4.7100,4.7200,4.7000,4.7100,3900
1429888196,4.7100,4.7200,4.7100,4.7100,1900
1429888418,4.7100,4.7200,4.7100,4.7100,1500
1429888797,4.7200,4.7200,4.7100,4.7100,1700
1429889040,4.7300,4.7400,4.7000,4.7100,25500
1429889248,4.7100,4.7100,4.7100,4.7100,100
1429889588,4.7100,4.7200,4.7100,4.7200,700
1429889876,4.7000,4.7100,4.7000,4.7100,2000
1429890296,4.7000,4.7100,4.7000,4.7000,1400
1429890595,4.7000,4.7100,4.7000,4.7100,900
1429890886,4.7000,4.7100,4.7000,4.7000,7900
1429891119,4.7050,4.7050,4.7000,4.7000,500
1429891479,4.7050,4.7100,4.7000,4.7000,800
1429891709,4.7000,4.7100,4.6950,4.7050,10400
1429891985,4.6900,4.7000,4.6800,4.7000,2400
1429892353,4.6965,4.6965,4.6900,4.6900,2700
1429892617,4.6900,4.6900,4.6900,4.6900,700
1429892936,4.6800,4.6950,4.6600,4.6950,6100
1429893286,4.6750,4.6750,4.6700,4.6700,200
1429893462,4.6750,4.6800,4.6700,4.6750,2500
1429893726,4.6800,4.6900,4.6700,4.6760,5700
1429894136,4.6600,4.6900,4.6600,4.6800,4000
1429894492,4.6900,4.6900,4.6650,4.6700,7800
1429894624,4.6900,4.6950,4.6900,4.6950,3400
1429895059,4.7000,4.7000,4.6950,4.6950,1100
1429895316,4.6900,4.6900,4.6900,4.6900,200
1429895644,4.6900,4.7000,4.6900,4.7000,700
1429895966,4.6900,4.7000,4.6900,4.6900,700
1429896283,4.7000,4.7100,4.6900,4.6900,12700
1429896559,4.7000,4.7000,4.6969,4.7000,5000
1429896882,4.6916,4.7000,4.6900,4.7000,1900
1429897192,4.7000,4.7000,4.6900,4.6900,1700
1429897496,4.6950,4.7000,4.6900,4.6900,2600
1429897755,4.7000,4.7050,4.7000,4.7000,4900
1429898047,4.7000,4.7000,4.6900,4.7000,500
1429898341,4.6900,4.6900,4.6900,4.6900,2000
1429898677,4.6800,4.7000,4.6800,4.6900,2400
1429898941,4.6900,4.7000,4.6900,4.6900,4400
1429899190,4.6900,4.7000,4.6900,4.6900,1400
1429899525,4.6900,4.6900,4.6900,4.6900,3800
1429899860,4.6800,4.6900,4.6800,4.6900,1800
1429900158,4.6800,4.6800,4.6800,4.6800,1100
1429900380,4.7000,4.7000,4.6800,4.6800,7600
1429900723,4.6900,4.7000,4.6800,4.7000,4400
1429901028,4.7000,4.7000,4.6800,4.6800,10300
1429901344,4.6900,4.7000,4.6850,4.7000,2900
1429901693,4.7000,4.7000,4.7000,4.7000,400
1429901891,4.7000,4.7000,4.6850,4.6900,6700
1429902251,4.6700,4.6900,4.6650,4.6900,5300
1429902554,4.6600,4.6700,4.6600,4.6700,1200
1429902824,4.6700,4.6800,4.6600,4.6600,9200
1429903161,4.6400,4.6700,4.6400,4.6700,7300
1429903489,4.6090,4.6400,4.5900,4.6400,37400
1429903788,4.6099,4.6099,4.6000,4.6016,2600
1429904056,4.6000,4.6100,4.6000,4.6100,4600
1429904396,4.6000,4.6100,4.6000,4.6000,2500
1429904678,4.6000,4.6079,4.6000,4.6000,6700
