uri:/instrument/1.0/CRBP/chartdata;type=quote;range=500d/csv
ticker:crbp
Company-Name:CORBUS PHARMACEUTICA
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.0000
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:2.8000,4.1500
high:2.8000,4.1500
low:2.8000,4.1500
open:2.8000,4.1500
volume:0,50000
1429882351,3.3399,3.3399,3.3299,3.3299,4000
1429883097,3.3400,3.3400,3.3400,3.3400,2100
1429883353,3.3390,3.3400,3.3390,3.3400,2000
1429883611,3.3299,3.3299,3.3299,3.3299,100
1429883751,3.2400,3.2400,3.2400,3.2400,1000
1429884051,3.2401,3.2401,3.2401,3.2401,1000
1429884597,3.2500,3.3400,3.2500,3.3300,3000
1429885094,3.2501,3.2501,3.2501,3.2501,100
1429885259,3.2500,3.2500,3.2500,3.2500,2000
1429885794,3.5000,3.5000,3.3399,3.3400,29800
1429886062,3.6900,3.6900,3.4000,3.5900,24400
1429886369,3.6500,3.7000,3.6412,3.6650,50000
1429886648,3.5101,3.5500,3.5100,3.5100,7000
1429887148,3.5100,3.6500,3.5100,3.6108,7000
1429887448,3.6500,3.6500,3.6500,3.6500,100
1429888478,3.6100,3.6100,3.6100,3.6100,100
1429889311,3.5600,3.5600,3.5500,3.5500,1800
1429889649,3.6500,3.7000,3.6500,3.6500,7800
1429889946,3.6500,3.7100,3.6500,3.6700,1900
1429890629,3.6717,3.6717,3.6500,3.6500,1400
1429891003,3.6799,3.6799,3.6799,3.6799,1500
1429891308,3.6501,3.6501,3.6501,3.6501,100
1429891583,3.6764,3.6800,3.6764,3.6800,4300
1429892092,3.6600,3.7000,3.6000,3.6500,15600
1429892255,3.6757,3.7000,3.6757,3.7000,1700
1429892507,3.6600,3.7000,3.6600,3.7000,1500
1429893495,3.7000,3.7000,3.6801,3.6801,2200
1429893825,3.7200,3.7200,3.7100,3.7100,3500
1429893928,3.7100,3.7100,3.7100,3.7100,200
1429894279,3.7100,3.7100,3.7100,3.7100,500
1429894751,3.7100,3.7500,3.6800,3.6800,3700
1429894950,3.6900,3.7100,3.6900,3.7100,2800
1429895372,3.7100,3.7100,3.7100,3.7100,400
1429896058,3.7001,3.7001,3.7001,3.7001,500
1429896573,3.6901,3.7000,3.6901,3.7000,1100
1429897047,3.6600,3.6900,3.6600,3.6900,3200
1429897383,3.6600,3.6783,3.6600,3.6783,4400
1429898009,3.6000,3.6000,3.6000,3.6000,1600
1429899447,3.5848,3.5848,3.5848,3.5848,100
1429900028,3.5600,3.5600,3.5600,3.5600,1200
1429900464,3.5101,3.5501,3.5101,3.5500,11200
1429901909,3.5104,3.5104,3.5100,3.5100,2800
1429902187,3.5350,3.5350,3.5350,3.5350,2000
1429902488,3.5500,3.5500,3.5500,3.5500,700
1429903194,3.4713,3.5500,3.4100,3.5500,21700
1429904094,3.5300,3.6625,3.5000,3.5000,6000
1429904365,3.5450,3.5450,3.5400,3.5400,1800
1429904666,3.5000,3.5450,3.5000,3.5450,6000
1429904886,3.5200,3.5200,3.5000,3.5000,900
1429905135,3.5400,3.5800,3.5400,3.5400,6000
1429905442,3.5000,3.5396,3.5000,3.5396,400
1430142291,3.1200,3.3700,3.1001,3.3700,0
1430142556,3.1000,3.4500,3.0000,3.1200,36000
1430142899,3.0000,3.0499,3.0000,3.0000,9100
1430143084,3.0300,3.0600,3.0000,3.0400,19000
1430143461,3.0000,3.0000,3.0000,3.0000,1600
1430144255,3.0023,3.0023,3.0023,3.0023,100
1430144539,2.9800,3.0100,2.9800,3.0100,700
1430144927,2.9500,3.0050,2.9500,3.0050,15600
1430145022,2.9500,2.9500,2.9500,2.9500,900
1430145564,2.9300,2.9300,2.9200,2.9300,3900
1430145755,2.9300,2.9800,2.8100,2.8900,9500
1430146475,2.9400,2.9500,2.9400,2.9490,900
1430146621,2.9400,2.9400,2.9400,2.9400,400
1430147112,2.9100,2.9200,2.9100,2.9200,700
1430149382,2.9100,2.9101,2.9099,2.9100,2700
1430149927,2.9399,2.9400,2.9399,2.9400,2200
1430150290,2.9400,2.9400,2.9400,2.9400,1100
1430150484,2.9443,2.9443,2.9443,2.9443,1900
1430152137,3.0000,3.0000,3.0000,3.0000,2200
1430152643,3.0000,3.0000,3.0000,3.0000,900
1430153153,2.9900,2.9900,2.9900,2.9900,100
1430154215,2.9500,2.9500,2.9500,2.9500,200
1430154535,2.9000,2.9500,2.9000,2.9500,1900
1430155377,2.9001,2.9001,2.9001,2.9001,500
1430155532,3.0000,3.0000,3.0000,3.0000,1000
1430155958,3.0000,3.0000,3.0000,3.0000,1000
1430157715,2.9920,2.9920,2.9920,2.9920,900
1430158170,3.0360,3.0360,3.0200,3.0200,200
1430158793,3.0200,3.0200,3.0200,3.0200,100
1430158894,3.0300,3.0400,3.0300,3.0300,2500
1430159697,3.0400,3.0400,3.0100,3.0300,12400
1430159953,3.0950,3.0950,3.0100,3.0400,4500
1430160207,3.0520,3.0520,3.0520,3.0520,500
1430160522,3.1200,3.1200,3.0450,3.0450,4400
1430161374,3.0700,3.0700,3.0500,3.0500,1800
1430161996,3.0000,3.0400,3.0000,3.0400,1300
1430162106,3.0328,3.0328,3.0328,3.0328,200
1430162590,3.0000,3.0100,3.0000,3.0100,4300
1430162956,2.9700,3.0000,2.9700,3.0000,800
1430163595,3.0200,3.0200,3.0200,3.0200,200
1430163896,3.0300,3.0999,3.0200,3.0200,1100
1430164416,2.9800,3.0150,2.9800,3.0000,4500
1430164787,3.0450,3.0450,3.0450,3.0450,100
1430164800,3.0200,3.0200,3.0200,3.0200,100
1430229080,3.0400,3.0500,2.8100,3.0000,0
1430230187,2.8000,2.9500,2.8000,2.9500,3900
1430230202,2.8000,2.8000,2.8000,2.8000,300
1430230739,2.8100,2.8100,2.8000,2.8000,3200
1430230890,2.8100,2.8100,2.8100,2.8100,1100
1430231260,2.9000,2.9000,2.9000,2.9000,100
1430231793,3.0300,3.0300,3.0300,3.0300,100
1430233714,3.0000,3.0000,3.0000,3.0000,100
1430236818,2.9800,2.9800,2.9800,2.9800,100
1430237633,2.9800,2.9800,2.9800,2.9800,1300
1430240307,2.9600,2.9600,2.9600,2.9600,100
1430242122,2.9900,2.9900,2.9899,2.9900,1800
1430242372,2.9800,2.9800,2.9700,2.9799,1000
1430242752,2.9300,2.9800,2.9300,2.9800,1400
1430243397,2.9500,2.9500,2.9500,2.9500,100
1430243687,2.9500,2.9500,2.9500,2.9500,2700
1430244569,2.9700,2.9700,2.9700,2.9700,100
1430245742,3.0700,3.0700,3.0700,3.0700,200
1430245885,3.0700,3.0700,3.0700,3.0700,200
1430246171,3.0700,3.0700,3.0700,3.0700,200
1430246521,3.0000,3.0300,3.0000,3.0250,1700
1430247725,3.0500,3.0500,3.0499,3.0500,1300
1430249558,2.9500,2.9500,2.9500,2.9500,1200
1430250746,2.9700,2.9700,2.9700,2.9700,100
1430251160,3.0300,3.0300,2.9100,2.9200,1100
1430315581,3.0000,3.0750,3.0000,3.0750,0
1430316539,3.0199,3.0200,3.0199,3.0200,4400
1430316808,3.0890,3.0890,3.0200,3.0200,400
1430318394,3.0900,3.0900,3.0900,3.0900,2000
1430320490,3.0927,3.0927,3.0927,3.0927,100
1430320713,3.0927,3.0927,3.0927,3.0927,100
1430321381,3.0600,3.0600,3.0600,3.0600,900
1430321756,3.0500,3.0500,3.0500,3.0500,1500
1430322975,3.0151,3.0151,3.0151,3.0151,300
1430327145,3.0000,3.0000,3.0000,3.0000,100
1430327524,2.9100,2.9700,2.9000,2.9700,6200
1430330029,2.9100,2.9100,2.9100,2.9100,100
1430330574,2.9460,2.9460,2.9460,2.9460,100
1430331619,2.9899,2.9899,2.9899,2.9899,4000
1430335737,2.9899,2.9900,2.9899,2.9900,5200
1430336054,2.9833,3.0000,2.9833,3.0000,500
1430337120,3.0600,3.0600,3.0600,3.0600,1000
1430337594,3.0100,3.0100,2.9400,2.9400,200
1430403373,3.0700,3.0700,3.0700,3.0700,0
1430403954,3.1200,3.1200,3.1200,3.1200,100
1430405650,3.0370,3.0370,3.0370,3.0370,200
1430406846,3.0000,3.0100,3.0000,3.0100,900
1430410352,3.0185,3.0185,3.0185,3.0185,300
1430410635,3.0000,3.0001,3.0000,3.0001,1000
1430413020,3.0000,3.0000,3.0000,3.0000,100
1430415123,3.1500,3.1500,3.0300,3.0300,5000
1430417643,3.1100,3.1200,3.1100,3.1200,400
1430418148,3.0686,3.0686,3.0686,3.0686,1000
1430418780,3.1000,3.1000,3.1000,3.1000,1900
1430419107,3.1000,3.1000,3.1000,3.1000,900
1430419535,3.1300,3.1300,3.1300,3.1300,700
1430419875,3.1300,3.1300,3.1300,3.1300,700
1430423613,3.1400,3.1400,3.1300,3.1300,200
1430488404,3.1500,3.1500,3.1500,3.1500,0
1430488769,3.2000,3.2000,3.1700,3.1700,18500
1430489362,3.2500,3.2500,3.2500,3.2500,100
1430489639,3.2200,3.2300,3.2200,3.2300,200
1430489706,3.1727,3.2000,3.1100,3.2000,5000
1430490094,3.0700,3.0700,3.0500,3.0500,1000
1430490922,3.0100,3.0300,3.0100,3.0300,6100
1430491495,2.9800,3.0500,2.9800,3.0500,3200
1430491645,3.0500,3.0500,3.0500,3.0500,10300
1430491881,3.0500,3.0500,3.0500,3.0500,6700
1430492964,3.0500,3.0500,3.0500,3.0500,1000
1430494066,3.0500,3.0500,3.0500,3.0500,2100
1430495229,3.1500,3.1500,3.1300,3.1300,1000
1430496076,3.1000,3.1000,3.1000,3.1000,900
1430497651,3.1001,3.1001,3.1001,3.1001,800
1430498546,3.1653,3.1653,3.1500,3.1500,300
1430499562,3.1601,3.1753,3.1600,3.1753,1200
1430506512,3.1852,3.1852,3.1852,3.1852,200
1430508295,3.2000,3.2500,3.1970,3.2000,1300
1430508864,3.1610,3.1610,3.1610,3.1610,1600
1430508915,3.2500,3.2500,3.2500,3.2500,3500
1430509917,3.2500,3.2500,3.2500,3.2500,100
1430510371,3.1700,3.1959,3.1700,3.1959,1200
1430746782,3.1970,3.1970,3.1970,3.1970,0
1430748498,3.1000,3.1100,3.1000,3.1001,900
1430749799,3.0500,3.0500,3.0400,3.0400,400
1430755216,3.0400,3.0400,3.0400,3.0400,100
1430755574,3.0400,3.0400,3.0400,3.0400,5000
1430756610,3.0400,3.0400,3.0400,3.0400,100
1430756818,3.0300,3.0300,3.0300,3.0300,100
1430757295,3.0200,3.0300,3.0100,3.0300,300
1430757596,3.0000,3.0100,3.0000,3.0100,1000
1430758110,3.0451,3.0451,3.0451,3.0451,800
1430758657,2.9900,2.9900,2.9900,2.9900,100
1430760621,2.9200,3.0000,2.9200,3.0000,400
1430763109,2.8501,2.8501,2.8501,2.8501,400
1430764645,3.0984,3.0984,3.0984,3.0984,100
1430765300,3.0984,3.0984,3.0984,3.0984,1000
1430766571,3.0860,3.0860,3.0800,3.0836,2000
1430766844,3.0748,3.0900,3.0748,3.0900,200
1430767388,3.0100,3.0500,3.0000,3.0500,400
1430767870,3.0100,3.0100,3.0100,3.0100,100
1430769574,3.0500,3.0500,3.0500,3.0500,100
1430832895,3.3000,3.3000,3.1000,3.1000,200
1430833158,3.2245,3.2499,3.2180,3.2180,4500
1430833678,3.2000,3.2001,3.2000,3.2000,3400
1430833876,3.2000,3.2000,3.2000,3.2000,800
1430834100,3.2384,3.2384,3.2384,3.2384,100
1430834912,3.2043,3.2043,3.2043,3.2043,2800
1430836764,3.2400,3.2500,3.1999,3.1999,6100
1430837335,3.2400,3.2400,3.2376,3.2376,2200
