uri:/instrument/1.0/UACL/chartdata;type=quote;range=500d/csv
ticker:uacl
Company-Name:Universal Truckload Services, I
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:20.5100
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:19.8400,22.7833
high:19.8400,22.8000
low:19.8400,22.7700
open:19.8400,22.7700
volume:0,41200
1429882200,22.3800,22.3800,22.3800,22.3800,100
1429884593,22.4000,22.4000,22.2200,22.2200,1500
1429884848,22.2400,22.3750,22.0900,22.2400,1900
1429885197,22.1300,22.3500,22.1000,22.3500,1400
1429885407,22.1300,22.2800,22.1300,22.2200,500
1429885649,22.2600,22.2600,22.2400,22.2400,200
1429886074,22.2900,22.2900,22.1400,22.1400,400
1429886389,22.2500,22.3500,22.2500,22.3100,800
1429886872,22.4100,22.4100,22.4100,22.4100,100
1429887267,22.4495,22.4495,22.2918,22.4100,800
1429887502,22.5000,22.5000,22.4400,22.4400,700
1429887810,22.5700,22.5800,22.5700,22.5800,400
1429888081,22.5800,22.5800,22.5800,22.5800,100
1429888280,22.7000,22.7100,22.7000,22.7100,200
1429888792,22.6500,22.6500,22.6500,22.6500,700
1429889099,22.5900,22.5900,22.5800,22.5800,200
1429889592,22.5700,22.5700,22.5700,22.5700,100
1429889950,22.7200,22.7200,22.6500,22.6500,200
1429891308,22.6200,22.6200,22.6100,22.6100,300
1429891789,22.7050,22.7050,22.6750,22.6750,200
1429893002,22.6100,22.6100,22.6100,22.6100,200
1429895413,22.5700,22.5700,22.5700,22.5700,100
1429896282,22.5600,22.5600,22.5600,22.5600,100
1429896404,22.5600,22.5600,22.5600,22.5600,100
1429897786,22.5500,22.5500,22.5500,22.5500,200
1429900576,22.3800,22.3800,22.3800,22.3800,100
1429901307,22.2800,22.2800,22.2800,22.2800,100
1429901546,22.3400,22.3400,22.3400,22.3400,200
1429901982,22.3700,22.3700,22.3599,22.3700,800
1429902453,22.4100,22.4100,22.4100,22.4100,100
1429903330,22.4400,22.4600,22.4400,22.4600,500
1429903683,22.4900,22.4900,22.4900,22.4900,100
1429903910,22.4800,22.5500,22.4800,22.5500,300
1429904651,22.4800,22.4800,22.4800,22.4800,200
1429905251,22.6700,22.8000,22.4700,22.4700,3700
1429905558,22.7600,22.7600,22.6200,22.6200,1800
1429905600,22.7500,22.7500,22.7500,22.7500,7800
1430143187,22.7700,22.7700,22.7700,22.7700,0
1430145371,22.7337,22.7337,22.7337,22.7337,100
1430145854,22.7350,22.7350,22.6700,22.6850,400
1430146121,22.7250,22.7250,22.6800,22.6800,300
1430146729,22.6000,22.6950,22.6000,22.6950,500
1430148235,22.4900,22.5350,22.4900,22.5350,700
1430148891,22.2700,22.2700,22.2700,22.2700,200
1430148983,22.2400,22.2700,22.2400,22.2700,200
1430150022,22.2300,22.2600,22.1900,22.2600,400
1430150489,22.1800,22.1800,22.1800,22.1800,100
1430150909,22.1100,22.1100,22.1100,22.1100,600
1430151212,22.0100,22.0530,22.0100,22.0200,800
1430151594,21.7400,22.0100,21.7400,22.0100,2100
1430151995,21.8900,21.8900,21.8900,21.8900,100
1430152763,21.8000,22.0100,21.8000,21.8700,2100
1430153918,21.8200,21.8400,21.8100,21.8400,600
1430154098,21.6600,21.7300,21.6600,21.6800,3500
1430154418,21.7800,21.7800,21.7800,21.7800,300
1430154769,21.7700,21.7700,21.7700,21.7700,100
1430155093,21.7500,21.7500,21.7500,21.7500,100
1430155670,21.7400,21.7400,21.7400,21.7400,300
1430155846,21.7900,21.7900,21.7400,21.7500,600
1430156236,21.8850,21.9100,21.8300,21.8600,600
1430156519,21.9500,21.9500,21.9500,21.9500,100
1430157797,22.0200,22.0200,22.0200,22.0200,700
1430158037,22.0500,22.0500,22.0200,22.0200,500
1430158446,22.1435,22.1600,22.1435,22.1600,1400
1430158695,22.2300,22.2300,22.2030,22.2030,1800
1430159100,22.2050,22.2050,22.1900,22.2000,700
1430159459,22.3000,22.3000,22.3000,22.3000,200
1430160172,22.3640,22.4000,22.2900,22.4000,600
1430160890,22.3300,22.3800,22.3200,22.3800,400
1430160953,22.3400,22.3400,22.3400,22.3400,300
1430161620,22.3400,22.3400,22.3400,22.3400,300
1430161966,22.2100,22.4300,22.2100,22.4300,1400
1430162450,22.3000,22.3000,22.3000,22.3000,500
1430163586,22.2300,22.2300,22.1300,22.2300,700
1430163961,22.1200,22.1200,22.1200,22.1200,200
1430164483,22.3300,22.3300,22.1100,22.1100,1000
1430164705,22.3300,22.3300,22.2200,22.2300,2300
1430164800,22.2500,22.2500,22.2500,22.2500,1500
1430228070,22.2000,22.2000,22.2000,22.2000,0
1430228470,22.2000,22.2000,22.1900,22.1900,800
1430228769,22.0900,22.2000,22.0900,22.1860,600
1430229517,22.1100,22.1100,22.1100,22.1100,100
1430230224,22.1100,22.1100,22.1100,22.1100,100
1430230677,22.0500,22.0500,22.0500,22.0500,100
1430231047,22.0531,22.0700,21.9800,22.0700,600
1430231966,22.1500,22.1500,22.1400,22.1400,1100
1430232025,22.1500,22.1500,22.1500,22.1500,100
1430233385,22.4100,22.4200,22.3500,22.3500,400
1430233782,22.7833,22.7833,22.6500,22.6500,400
1430234277,22.5600,22.6100,22.5600,22.6100,400
1430234495,22.4700,22.5400,22.4700,22.5400,200
1430234950,22.5205,22.5300,22.5205,22.5300,1200
1430238476,22.6000,22.6000,22.6000,22.6000,100
1430239052,22.5860,22.5860,22.5600,22.5780,1400
1430242797,22.4100,22.4100,22.4100,22.4100,200
1430243821,22.4400,22.4400,22.4400,22.4400,400
1430246096,22.4000,22.4950,22.4000,22.4500,1800
1430246101,22.3400,22.4650,22.3400,22.4650,200
1430247436,22.3500,22.3500,22.3500,22.3500,200
1430247823,22.2900,22.2900,22.2900,22.2900,200
1430247970,22.3386,22.3386,22.3386,22.3386,400
1430248387,22.3300,22.3300,22.3300,22.3300,100
1430248823,22.3000,22.3000,22.2900,22.3000,400
1430249394,22.2900,22.2900,22.2900,22.2900,300
