uri:/instrument/1.0/LLNW/chartdata;type=quote;range=500d/csv
ticker:llnw
Company-Name:Limelight Networks, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:4.1100
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:3.5800,4.2300
high:3.5800,4.2400
low:3.5800,4.2100
open:3.5800,4.2200
volume:0,277900
1429882477,3.7600,3.7600,3.7300,3.7300,12500
1429882745,3.7500,3.7500,3.7100,3.7500,3400
1429882868,3.7400,3.7400,3.7100,3.7100,1000
1429883267,3.7200,3.7200,3.7000,3.7000,700
1429883673,3.7300,3.7300,3.7200,3.7233,1600
1429883999,3.7400,3.7400,3.7200,3.7226,2000
1429884267,3.7600,3.7600,3.7300,3.7481,700
1429884544,3.7400,3.7500,3.7300,3.7499,3000
1429884733,3.7600,3.7600,3.7300,3.7300,4600
1429885129,3.7600,3.7600,3.7400,3.7400,200
1429885631,3.7500,3.7500,3.7300,3.7499,1200
1429885988,3.7400,3.7500,3.7400,3.7500,200
1429886588,3.7500,3.7500,3.7300,3.7300,1600
1429886796,3.7500,3.7500,3.7500,3.7500,100
1429887291,3.7500,3.7500,3.7500,3.7500,300
1429887530,3.7600,3.7600,3.7500,3.7500,600
1429887759,3.7700,3.7700,3.7700,3.7700,100
1429888198,3.7700,3.7700,3.7400,3.7500,3700
1429888342,3.7600,3.7700,3.7600,3.7600,2800
1429888543,3.7500,3.7500,3.7500,3.7500,100
1429888983,3.7700,3.7700,3.7500,3.7500,200
1429889500,3.7500,3.7500,3.7500,3.7500,100
1429889960,3.7500,3.7500,3.7500,3.7500,200
1429890204,3.7700,3.7700,3.7600,3.7700,3200
1429890369,3.7600,3.7600,3.7600,3.7600,700
1429890695,3.7600,3.7700,3.7600,3.7700,500
1429890969,3.7600,3.7600,3.7600,3.7600,100
1429891585,3.7600,3.7600,3.7600,3.7600,200
1429891819,3.7570,3.7570,3.7570,3.7570,100
1429892181,3.7500,3.7500,3.7500,3.7500,200
1429892407,3.7700,3.7700,3.7600,3.7600,200
1429893158,3.7600,3.7600,3.7600,3.7600,100
1429893383,3.7600,3.7700,3.7500,3.7501,4500
1429893895,3.7500,3.7600,3.7500,3.7510,500
1429894153,3.7549,3.7549,3.7549,3.7549,100
1429894407,3.7600,3.7700,3.7500,3.7500,3700
1429894582,3.7500,3.7500,3.7500,3.7500,100
