uri:/instrument/1.0/MNGA/chartdata;type=quote;range=500d/csv
ticker:mnga
Company-Name:MagneGas Corporation
Exchange-Name:NCM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:0.9218
range:20150424,1429882200,1429905600
range:20150427,1430141400,1430164800
range:20150428,1430227800,1430251200
range:20150429,1430314200,1430337600
range:20150430,1430400600,1430424000
range:20150501,1430487000,1430510400
range:20150504,1430746200,1430769600
range:20150505,1430832600,1430856000
range:20150506,1430919000,1430942400
range:20150507,1431005400,1431028800
range:20150508,1431091800,1431115200
range:20150511,1431351000,1431374400
range:20150512,1431437400,1431460800
range:20150513,1431523800,1431547200
range:20150514,1431610200,1431633600
Timestamp:1429882200,1431633600
labels:1429882200,1430141400,1430227800,1430314200,1430400600,1430487000,1430746200,1430832600,1430919000,1431005400,1431091800,1431351000,1431437400,1431523800,1431610200
values:Timestamp,close,high,low,open,volume
close:0.6122,1.0950
high:0.6126,1.1400
low:0.6122,1.0700
open:0.6125,1.1000
volume:0,1116500
1429882490,0.6370,0.6599,0.6370,0.6599,33100
1429882726,0.6370,0.6370,0.6370,0.6370,4500
1429883211,0.6400,0.6400,0.6400,0.6400,400
1429884248,0.6401,0.6401,0.6401,0.6401,4400
1429884970,0.6449,0.6450,0.6449,0.6450,1000
1429886366,0.6393,0.6401,0.6393,0.6400,2100
1429887284,0.6397,0.6397,0.6397,0.6397,1300
1429888030,0.6378,0.6378,0.6378,0.6378,200
1429888499,0.6325,0.6369,0.6325,0.6369,3400
1429889266,0.6325,0.6325,0.6325,0.6325,7000
1429890479,0.6300,0.6300,0.6300,0.6300,10600
1429891101,0.6300,0.6300,0.6294,0.6300,5300
1429892416,0.6319,0.6319,0.6319,0.6319,2400
1429892906,0.6314,0.6315,0.6314,0.6315,4200
1429893464,0.6308,0.6312,0.6308,0.6312,2800
1429894644,0.6313,0.6313,0.6313,0.6313,100
1429897091,0.6320,0.6320,0.6320,0.6320,1100
1429897319,0.6307,0.6310,0.6307,0.6310,900
1429898254,0.6325,0.6325,0.6304,0.6304,15800
1429898854,0.6300,0.6300,0.6300,0.6300,100
1429899245,0.6300,0.6300,0.6300,0.6300,600
1429899595,0.6300,0.6300,0.6300,0.6300,100
1429899807,0.6293,0.6300,0.6293,0.6300,10400
1429900129,0.6300,0.6300,0.6300,0.6300,1500
1429900268,0.6125,0.6275,0.6125,0.6275,16500
1429900722,0.6258,0.6258,0.6125,0.6125,600
1429901084,0.6125,0.6132,0.6125,0.6132,2500
1429901357,0.6150,0.6150,0.6125,0.6125,5000
1429901627,0.6126,0.6126,0.6126,0.6126,500
1429901864,0.6126,0.6126,0.6126,0.6126,300
1429902444,0.6126,0.6138,0.6126,0.6138,2400
1429902854,0.6126,0.6130,0.6125,0.6126,9000
1429902973,0.6126,0.6126,0.6126,0.6126,1200
1429903495,0.6126,0.6146,0.6126,0.6146,1100
1429903714,0.6126,0.6126,0.6126,0.6126,12400
1429904073,0.6200,0.6200,0.6125,0.6126,27500
1429904387,0.6200,0.6200,0.6200,0.6200,300
1429904567,0.6200,0.6200,0.6200,0.6200,200
1429904904,0.6200,0.6200,0.6200,0.6200,300
1429905123,0.6200,0.6200,0.6200,0.6200,100
1429905474,0.6323,0.6323,0.6200,0.6200,9100
1430141531,0.6400,0.6400,0.6300,0.6300,0
1430142284,0.6826,0.6826,0.6400,0.6400,11200
1430142531,0.6510,0.6510,0.6140,0.6501,12800
1430142853,0.6499,0.6499,0.6499,0.6499,100
1430143476,0.6500,0.6826,0.6350,0.6350,25500
1430143699,0.6747,0.6749,0.6700,0.6749,3700
1430144012,0.6690,0.6690,0.6669,0.6669,2400
1430144329,0.6500,0.6500,0.6500,0.6500,100
1430144556,0.6450,0.6450,0.6450,0.6450,3000
1430144972,0.6450,0.6450,0.6450,0.6450,1000
1430145122,0.6486,0.6486,0.6486,0.6486,400
1430145351,0.6688,0.6699,0.6688,0.6699,400
1430145830,0.6694,0.6694,0.6694,0.6694,300
1430145933,0.6686,0.6686,0.6686,0.6686,200
1430146463,0.6622,0.6694,0.6617,0.6692,2400
1430146725,0.6692,0.6694,0.6692,0.6694,300
1430146916,0.6683,0.6683,0.6683,0.6683,1000
1430147520,0.6400,0.6504,0.6400,0.6504,3000
1430147726,0.6401,0.6401,0.6401,0.6401,1500
1430148170,0.6401,0.6401,0.6401,0.6401,6700
1430148378,0.6400,0.6400,0.6400,0.6400,2200
1430149482,0.6400,0.6400,0.6400,0.6400,500
1430149709,0.6522,0.6522,0.6399,0.6400,1000
1430150628,0.6297,0.6297,0.6297,0.6297,1000
1430151994,0.6200,0.6300,0.6200,0.6300,33800
1430152334,0.6226,0.6226,0.6226,0.6226,500
1430152785,0.6220,0.6220,0.6220,0.6220,2500
1430152995,0.6220,0.6250,0.6220,0.6250,600
1430153234,0.6220,0.6233,0.6220,0.6233,2100
1430154270,0.6292,0.6307,0.6252,0.6252,3600
1430154359,0.6308,0.6308,0.6308,0.6308,100
1430155365,0.6439,0.6450,0.6308,0.6450,12100
1430156296,0.6308,0.6308,0.6308,0.6308,1000
1430156640,0.6308,0.6308,0.6308,0.6308,600
1430157633,0.6309,0.6309,0.6309,0.6309,1400
1430158620,0.6442,0.6442,0.6442,0.6442,100
1430159025,0.6308,0.6369,0.6308,0.6369,2100
1430160776,0.6312,0.6312,0.6312,0.6312,400
1430161190,0.6308,0.6312,0.6308,0.6312,2900
1430161480,0.6337,0.6337,0.6337,0.6337,200
1430161516,0.6345,0.6345,0.6327,0.6327,5100
1430162067,0.6308,0.6327,0.6308,0.6327,1900
1430162108,0.6258,0.6258,0.6258,0.6258,200
1430163433,0.6258,0.6258,0.6258,0.6258,500
1430163812,0.6258,0.6258,0.6258,0.6258,6000
1430163951,0.6258,0.6258,0.6258,0.6258,100
1430164751,0.6258,0.6258,0.6258,0.6258,100
1430227800,0.6700,0.6700,0.6700,0.6700,0
1430228322,0.6500,0.6500,0.6500,0.6500,400
1430229527,0.6480,0.6500,0.6480,0.6500,11400
1430229733,0.6500,0.6500,0.6500,0.6500,2700
1430229990,0.6263,0.6400,0.6259,0.6400,15200
1430230433,0.6251,0.6269,0.6251,0.6259,32000
1430230589,0.6251,0.6251,0.6251,0.6251,900
1430232193,0.6439,0.6460,0.6439,0.6460,1600
1430232401,0.6440,0.6440,0.6440,0.6440,100
1430233402,0.6300,0.6419,0.6300,0.6419,2100
1430234952,0.6411,0.6411,0.6400,0.6400,600
1430235209,0.6401,0.6490,0.6401,0.6490,900
1430236755,0.6422,0.6422,0.6422,0.6422,200
1430237844,0.6430,0.6462,0.6430,0.6462,9100
1430238095,0.6431,0.6431,0.6431,0.6431,300
1430239111,0.6453,0.6456,0.6453,0.6456,400
1430239396,0.6500,0.6500,0.6500,0.6500,1500
1430239537,0.6452,0.6452,0.6452,0.6452,100
1430240001,0.6500,0.6500,0.6500,0.6500,1500
1430240771,0.6420,0.6420,0.6420,0.6420,1900
1430241345,0.6400,0.6400,0.6400,0.6400,100
1430247815,0.6422,0.6422,0.6422,0.6422,2100
1430247963,0.6424,0.6424,0.6424,0.6424,100
1430248684,0.6500,0.6500,0.6500,0.6500,8500
1430248967,0.6501,0.6700,0.6501,0.6700,65700
1430250537,0.6501,0.6501,0.6501,0.6501,500
